nomvar,description_fr,description_en,unit
BY,Information sur les bouées,Buoy information,scalar
C0,Premier niveau de congélation,First freezing level,foot
C1,Second niveau de congélation,Second freezing level,foot
C2,Troisième niveau de congélation,Third freezing level,foot
C3,Aérosols de carbonate (C03--),Carbonate Aerosols (C03--),parts_per_billion
CA,Aérosols de calcium (CA++),Calcium Aerosols (CA++),parts_per_billion
CAPE,energie potentielle de convection disponible,Convective Available Potential Energy,specificEnergy
CC,Potentiel de vitesse,Velocity potential,squareMeter_per_second
CD,Epaisseur entre les niveaux de Congélation C2-C1,Thickness between C2-C1 freezing layers,foot
CF,Nuage Total,Nuage Total,scalar
CH,Coefficient de transfert xu. champs thermiques,Xu transfer coefficient. thermal fields,meter_per_second
CI,Ion calcium en solution (CA++),Calcium Ion in Solution (CA++),parts_per_billion
CINH,energie d''inhibition de la convection,Convective Inhibition,specificEnergy
CK,Nuages convectifs,Convective clouds,scalar
CL,Nuages à grande échelle,Large scale clouds,scalar
CLD,Fraction nuageuse diagnostique,Cloud Fraction Diagnostic,scalar
CM1X,poussiere de sol 2.5um,crustal material/soil/dust fin (2.5um),microgram_per_cubicMeter
CM2X,poussiere de sol 10um,crustal material/soil/dust coarse (10um),microgram_per_cubicMeter
CN,Inhibition convective,CONVECTIVE INHIBITION,specificEnergy
CO,Monoxide de carbone (CO),Carbon Monoxide Gas (CO),parts_per_billion
CORP,Paramètre de Coriolis,Coriolis parameter,divergence
CP,Energie potentielle convective disponible,Convective Available Potential Energy,specificEnergy
CR,Réflectivité radar composite,Radar Composite Reflectivity,decibelsOfZ
CS,Nuages à petite échelle,Small Scale Clouds,scalar
CT,Type nuageux (Codé) (QPF),Cloud Type (Coded) (QPF),scalar
CV,Coefficient thermique pour la canope,Thermal Coefficient for canopy,kelvin_squareMeter_per_joule
CX,Cosinus de l''Angle Solaire,Cosine of solar angle,scalar
D2,Profondeur d''enracinement dans le sol,Rooting soil depth,meter
D3,Tendance de pession des dernières 3 heures,Pressure tendency last three hours,hectoPascal
DCBH,Hauteur de la base du conduit,Duct Base height,meter
DCMR,Indice de refraction modifiee,Modified refractivity,M-units
DCN,EIC (CIN) d''une parcelle définie par l''utilisateur,User defined parcel CIN,specificEnergy
DCNB,nombre de conduits,Number of ducts,scalar
DCP,EPCD (CAPE) d''une parcelle définie par l''utilisateur,User defined parcel CAPE,specificEnergy
DCST,force du conduit,Duct strength,M-units
DCTH,Epaisseur du conduit,Duct thickness,meter
DD,Divergence,Divergence,inverseSecond
DE,Direction des vagues de vent,Direction of Wind (or Sea) waves,degree
DIVI,Divergence de la glace,Ice divergence,1/day
DL,Latitude-Longitude,Latitude-Longitude,degree
DLIM,Changement de temp de l''air a 2m apporte par tdiaglim=vrai,2 m air temperature modification by tdiaglim=true,kelvin
DMC,Diametre moyen de masse de nuages,Mean mass diameter of cloud,meter
DMG,Diametre moyen de masse de neige roulee,Mean mass diameter of graupel,meter
DMH,Diametre moyen de masse de grele,Mean mass diameter of hail,meter
DMI,Diametre moyen de masse de glace,Mean mass diameter of ice,meter
DMR,Diametre moyen de masse de pluie,Mean mass diameter of rain,meter
DMS,Diametre moyen de masse de neige,Mean mass diameter of snow,meter
DN,Densité de la neige,Snow density,massDensity
DNEL,Nombre de NE d''une parcelle définie par l''utilisateur,User defined parcel number of EL,scalar
DNFC,Nombre de NCL d''une parcelle définie par l''utilisateur,User defined parcel number of LFC,scalar
DNVC,Nombre de NCL utilisant VT d''une parcelle définie par l''utilisateur,User defined parcel number of LFC using VT,scalar
DNVE,Nombre de NE utilisant VT d''une parcelle définie par l''utilisateur,User defined parcel number of EL using VT,scalar
DP,Divergence Isobarique,Isobaric divergence,inverseSecond
DPEL,Pression du NE d''une parcelle définie par l''utilisateur,User defined parcel pressure EL,hectoPascal
