nomvar,description_fr,description_en,unit
L8,Int. vert/frctn de glace nuageuse/courants ascendants cnvctf,Vertical integral/cloud ice mixing fraction/cnvctv updrafts,kilogram_per_kilogram
LA,Latitude géographique,Geographical Latitude,degree
LAI,Indice de couverture de foliage (BEIS3),Leaf Area index (BEIS3),scalar
LC,Ion carbonate en solution (CO3),Carbonate Iion in Solution (CO3),parts_per_billion
LD,Indice de turbulence maximum,Maximum Turbulence Index,inverseSquareSecond
LG,Fraction de glace continue,Continuous Ice Fraction,scalar
LH,Hauteur de lancement des radio-sondes,Launching Height,meter
LI,Indice de soulèvement à la surface,Surface Lifted Index,kelvin
LO,Longitude géographique,Geographical longitude,degree
LQ,Logarithme naturel de l''humidité spécifique,Natural logarithm of Specific Humidity,kilogram_per_kilogram
LS,Dioxyde de soufre en solution (SO2),Sulphur Dioxide in Solution (SO2),parts_per_billion
LT,Base de la couche de turbulence en haute altitude,Base Layer of High Altitude Turbulence,foot
LTG,Foudre,Lightning,scalar
LZ,Ozone en solution (O3),Ozone in Solution (O3),parts_per_billion
M3,Densite de l''air,Air Density,massDensity
M3D,Densite de l''air sec,Dry Air Density,massDensity
M4,Cosinus de l''angle solaire,Cosine of the Solar Angle,degree
M9,Hauteur d''eau de ruissellement,Height of water lying on surface,meter
MA,Aérosols de manganèse (mn++),Manganese Aerosols (mn++),parts_per_billion
MC,Montagnes (193x97) (ECMWF),Mountains (193x97) (ECMWF),meter
MCN,EIC (CIN) de la parcelle moyenne,Mean layer parcel CIN,specificEnergy
MCP,EPCD (CAPE) de la parcelle moyenne,Mean layer parcel CAPE,specificEnergy
ME,Montagnes (sources:USGS-USNAVY-GLOBE-NCAR-CRC),Mountain (sources:USGS-USNAVY-GLOBE-NCAR-CRC),meter
MF,Topographie filtrée,Filtered Topography,meter
MG,Masque océan/continent,Ocean/Continent Mask,scalar
MH,masque terre-eau,masque terre-eau,scalar
MI,Ion magnésium en Solution (MG++),Magnesium Ion in solution (MG++),parts_per_billion
ML,Masque terre-eau douce-eau salée,Land-Fresh Water-Sea Water Mask,scalar
MLHR,humidite relative de la parcelle moyenne,Mean layer parcel relative humidity,percent
MLI,indice de soulevement de la parcelle moyenne,Lifted index of the mean layer parcel,kelvin
MLPX,pression de la parcelle moyenne,Mean layer parcel pressure,hectoPascal
MLTD,temperature du point de rosee de la parcelle moyenne,Mean layer parcel dew point temperature,celsius
MLTT,temperature de la parcelle moyenne,Mean layer parcel temperature,celsius
MLVT,Température virtuelle de la parcelle moyenne,Mean layer parcel virtural temperature,celsius
MLZ,hauteur de la parcelle moyenne,Mean layer parcel height,meter
MM,Aérosols de magnésium (MG++),Magnesium Aerosols (MG++),parts_per_billion
MN,Montagne (NCAR),Mountain (NCAR),meter
MNEL,Nombre de NE de la parcelle moyenne,Mean layer parcel number of EL,scalar
MNFC,Nombre de NCL de la parcelle moyenne,Mean layer parcel number of LFC,scalar
MNVC,Nombre de NCL utilisant VT de la parcelle moyenne,Mean layer parcel number of LFC using VT,scalar
MNVE,Nombre de NE utilisant VT de la parcelle moyenne,Mean layer parcel number of EL using VT,scalar
MO,Montagne (OREGON),Mountain (OREGON),meter
MP,Période moyenne de l''onde significative,Significant Wave Mean Period,second
MPQC,Rapport de melange masse du nuage,Mass mixing ration of clouds,kilogram_per_kilogram
MPQR,Rapport de melange masse de pluie,Mass mixing ration of rain,kilogram_per_kilogram
MPCL,Pression du NCA de la parcelle moyenne,Mean layer parcel pressure at the LCL,hectoPascal
MPEL,Pression du NE de la parcelle moyenne,Mean Layer Parcel Pressure EL,hectoPascal
MPFC,Pression du NCL de la parcelle moyenne,Mean Layer Parcel Pressure LFC,hectoPascal
MPVC,Pression du NCL de la parcelle moyenne utilisant VT,Mean Layer Parcel Pressure LFC using virtual temperature,hectoPascal
MPVE,Pression du NE de la parcelle moyenne utilisant VT,Mean Layer Parcel Pressure EL using virtual temperature,hectoPascal
MQ,Masque terre-mer,Land-sea Mask,scalar
MT,Montagne (géopotentiel du modèle),Mountain (Model Geopotential),squareMeter_per_secondSquared
MTCL,Température du NCA de la parcelle moyenne,Mean layer parcel temperature at the LCL,celsius
MTEL,Température du EL de la parcelle moyenne,Mean Layer Parcel Temperature EL,celsius
MTFC,Température du NCL de la parcelle moyenne,Mean Layer Parcel Temperature LFC,celsius
MTLP,Température de la parcelle soulevée pour la parcelle moyenne,Mean layer parcel lifted parcel temperature,celsius
MTVC,Temp du NCL de la parcelle moyenne utilisant VT,Mean Layer Parcel Temperature LFC using virtual temperature,celsius
MTVE,Temperature du NE de la parcelle moyenne utilisant temperature virtuelle,Mean Layer Parcel Temperature EL using virtual temperature,celsius
MUHR,Humidite relative de la parcelle la plus instbl(max Thetaw),Most unstable parcel relative humidity(max Thetaw),percent
MUPX,Pression de la parcelle la plus instable(max Thetaw),Most unstable parcel pressure(max Thetaw),hectoPascal
MUTD,Point de rosee de la parcelle la plus instbl(max Thetaw),Most unstable parcel dew point temperature(max Thetaw),celsius
MUTT,Temperature de la parcelle la plus instable(max Thetaw),Most unstable parcel temperature(max Thetaw),celsius
MUVT,Température virtuelle de la parcelle la plus instable,Most unstable parcel virtural temperature,celsius
MUZ,Hauteur de la parcelle la plus instable(max Thetaw),Most unstable parcel height(max Thetaw),meter
MVCL,Température virtuelle du NCA de la parcelle moyenne,Mean layer parcel virtual temperature at the LCL,celsius
MVCN,EIC (CIN) utilisant VT de la parcelle moyenne,Mean layer parcel CIN using VT,specificEnergy
MVCP,EPCD (CAPE) utilisant VT de la parcelle moyenne,Mean layer parcel CAPE using VT,specificEnergy
MVLI,Indice soulevement de la parcelle moyenne utilisant VT,Lifted index of the mean layer parcel using VT,kelvin
MVLP,Température virtuelle de la parcelle soulevée pour la parcelle représentant la moyenne d''une couche,Mean layer parcel lifted parcel virtual temperature,celsius
MX,Topographie géopotentielle filtrée,Filtered Geopotential Topography,squareMeter_per_secondSquared
MY,Topographie non filtrée,Non-Filtered Topography,meter
MZCL,Hauteur du NCA de la parcelle moyenne,Mean layer parcel height at the LCL,meter
MZEL,Hauteur du NE de la parcelle moyenne,Mean Layer Parcel Height EL,meter
MZFC,Hauteur du NCL de la parcelle moyenne,Mean Layer Parcel Height LFC,meter
MZVC,Hauteur du NCL de la parcelle moyenne utilisant VT,Mean Layer Parcel Height LFC using virtual temperature,meter
MZVE,Hauteur du NE de la parcelle moyenne utilisant le temperature virtuelle,Mean Layer Parcel Height EL using virtual temperature,meter
N0,Accumulation de ruissellement de surface,Accumulation of Surface Runoff,millimeter
N1,Premier niveau de temperature potentielle,First level potential temperature,kelvin
N2,Dioxide d''azote gazeux (NO2),Nitrogen dioxide gas (NO2),parts_per_billion
N2RB,résistance à la diffusion moléculaire de dioxyde d''azote,nitrogen dioxide molecular diffusion resistance,second_per_meter
N2RC,résistance de la surface totale de dioxyde d''azote,nitrogen dioxide total surface resistance,second_per_meter
N3,Aérosols de nitrate (NO3),Nitrate Aerosols (NO3),parts_per_billion
N4,Flux Solaire Incident (Accumulee) Avant Absorption par la surface,Accumulated Incident solar Flux before Surface Absorption,joule_per_squareMeter
NA,Aérosols de nitrite (NO2),Nitrite Aerosols (NO2),parts_per_billion
NB,Nuage bas,Low Cloud,scalar
NBFL,Nombre de niveaux de congelation,Number of freezing levels,scalar
NC,Fraction de nuage convectif,Convective Cloud Fraction,scalar
NCT1,Densite nmbr gouttelettes de nuages (Mil/Yau-dbl momment),Number concentration of cloud droplets (Mil/Yau-dbl momment),inverseCubicMeter
NE,Couverture de neige,Snow Cover,scalar
NEL,Nombre de niveaux d''équilibre,Number of equilibrium levels,scalar
NF,couvert nuageux (NT) accumulé,Accumulated Cloud Cover (NT),second
NG,Acid nitrique gazeux (HNO3),Nitric Acid Gas (HNO3),parts_per_billion
NGT1,Densite nmbr articules de neige roulee (Mil/Yau-dbl momment),Number concentration graupel particles (Mil/Yau-dbl momment),inverseCubicMeter
NH,Nuage élevés,High Cloud,scalar
NHT1,Densite nmbr des particules de grele (Mil/Yau-dbl momment),Number concentration hail particles (Mil/Yau-dbl momment),inverseCubicMeter
NI,Ion nitrite en solution (NO2),Nitrite Ion in Solution (NO2),parts_per_billion
NI1X,nitrate 2.5um (ESPECES CAM),nitrate fine (2.5um) (CAM SPECIES),microgram_per_cubicMeter
NI2X,nitrate 10um (ESPECES CAM),nitrate coarse (10um) (CAM SPECIES),microgram_per_cubicMeter
NIT1,Densite de nombre des cristaux de glace (Mil/Yau-dbl momment),Number concentration ice crystals (Mil/Yau-dbl momment),inverseCubicMeter
NLFC,nombre de NCL,Number of LFC,scalar
NM,Nuage moyen,Middle Level Cloud,scalar
NNT1,Densite de nombre des cristaux de neige (Mil/Yau-dbl momment),Number concentration snow crystals (Mil/Yau-dbl momment),inverseCubicMeter
NO,Oxyde nitrique gaseux (NO),Nitric Oxide Gas (NO),parts_per_billion
NORB,résistance à la diffusion moléculaire de monoxyde d''azote,nitrogen monoxide molecular diffusion resistance,second_per_meter
NORC,résistance de la surface totale de monoxyde d''azote,nitrogen monoxide total surface resistance,second_per_meter
NP,Contenu en eau de l''atmosphère (neige et pluie),Atmospheric Water Content (Snow and Rain),kilogram_per_kilogram
NR,Budget radiatif net du sol,Net Radiation Budget of the Ground,watt_per_squareMeter
NRT1,Densite de nombre des gouttes de pluie (Mil/Yau-dbl momment),Number concentration rain drops (Mil/Yau-dbl momment),inverseCubicMeter
NS,Fraction de nuage stratiforme,Stratiform Cloud Fraction,scalar
NT,Couverture nuageuse totale,Total Cloud Cover,scalar
NU,Fraction nuageuse,Cloud fraction,scalar
NV,Acide nitreux gaseux (HNO2),Nitrous Acid Gas (hno2),parts_per_billion
NVC,Nombre de NCL utilisant VT,Number of LFC using VT,scalar
NVE,Nombre de NE utilisant VT,Number of EL using VT,scalar
NW,Type de precipitation dominant (RA 1:RS:ZR:GR:SN:NONE 6),Dominant Precipitation Type (RA 1:RS:ZR:GR:SN:NONE 6),scalar
NWOC,organique secondaire cree durant un pas de temps,secondary organic created in timestep,microgram_per_kilogram
O1,Accumulation de drainage à la base,Accumulation of Base Drainage,millimeter
O3,Ozone total,Total Ozone,dobson
O3RB,résistance à la diffusion moléculaire d''ozone,ozone molecular diffusion resistance,second_per_meter
O3RC,résistance de la surface totale d''ozone,ozone total surface resistance,second_per_meter
O7,Accumulation de sublimation de la neige,Accumulation of sublimation from snow,joule_per_squareMeter
OC,Masque (ECMWF),Mask (ECMWF),scalar
OC1X,carbone organique secondaire 2.5um,secondary organic carbon fine(2.5um),microgram_per_cubicMeter
OC2X,carbone organique secondaire 10um,secondary organic carbon coarse(10um),microgram_per_cubicMeter
OD,Oxygène monoatomique (O(ID)),Monatomic Oxygen (ID State) (O(ID)),parts_per_billion
OL,Longueur de Monin-Obukhov,Monin-Obukhov Length,meter
OP,Oxygène monoatomoique (état 3p) (O(3P)),Monatomic Oxygen (3p State) (O(3P)),parts_per_billion
OT,Température océanique moyenne (12 mois) (QPF),Mean Ocean Temperature 12 months (QPF),scalar
OZ,Ozone gaseux (O3),Ozone Gas (O3),parts_per_billion
P0,Pression à la surface,Surface Pressure,millibar
P1,Taux des précipitations convectives liquides,Convective Liquid Precipitation Rate,meter_per_second
P2,Taux des précipitations liquides stratiformes,Stratiform Liquid Precipitation Rate,meter_per_second
P3,Taux des précipitations solides convectives,Convective Solid Precipitation Rate,meter_per_second
P4,Taux des précipitations solides stratiformes,Stratiform Solid Precipitation Rate,meter_per_second
PA,PAN gaseux (PAN),PAN gas (PAN),parts_per_billion
PARR,Rayonnement photosynthetique actif (cccmarad),Photosynthetic active radiation (cccmarad),watt_per_squareMeter
PB,Précipitation explicite accumulée (PR-PC),Accumulated explicit precipitation (PR-PC),meter
PC,Précipitation implicite accumulée,Accumulated implicit precipitation,meter
PC1X,carbone organique primaire 2.5um,primary organic carbon fine(2.5um),microgram_per_cubicMeter
PC2X,carbone organique primaire 10um,primary organic carbon coarse (10um),microgram_per_cubicMeter
PD,Période de pointe,Peak Period,second
PDM,Type de précipitation dominant,Dominant precipitation type,scalar
PE,Granules de glace (QPF),Ice Pellets (QPF),meter
PE1,Gresil accumule (Mil-Yau),Accumulated Ice Pellets (Mil-Yau),meter
PE2,Grele accumulee (Mil-Yau),Accumulated hail (Mil-Yau),meter
PE2L,Gros grelons accumules (Mil-Yau),Accumulated large hail (Mil-Yau),meter
PEL,Pression du NE,EL pressure,hectoPascal
PFC,Pression du NCL,LFC pressure,hectoPascal
PG,Montagne (QPF),Mountain (QPF),millibar
PH,Hauteur de sigma 1 moins la moyenne,Height of sigma 1 minus the mean,squareMeter_per_secondSquared
PI,Position longitudinale du pixel GOES,GOES Pixel Longitudinal Position,scalar
PJ,Position latitudinale du pixel GOES,GOES Pixel Latitudinal Position,scalar
PL,Précipitations à grande échelle (QPF),Large Scale Precip (QPF),scalar
PLCL,pression au NCA,LCL pressure,hectoPascal
PM,Quantité de précipitations (ECMWF),Amount of Precipitation (ECMWF),centimeter
PN,Pression au niveau de la mer,Sea Level Pressure,millibar
PP,Fonction de Courant,Courant Function,squareMeter_per_second
PPVU,Pression sur surface d''unités de tourbillon potentiel constantes,Pressure on a surface of constant potential vorticity units,hectoPascal
PR,Quantité de précipitations,Quantity of Precipitation,meter
PS,Conductivité du sol,Soil Conductivity,watt_per_squareMeterKelvin
PT,Pression au toit du modèle,Pressure at the Top of the Model,millibar
PU,Parcours du vent,Wind Path,knotHour
PVC,Pression du NCL utilisant le temperature virtuelle,LFC pressure using virtual temperature,hectoPascal
PV,Tourbillon potentiel d''Ertel,Ertel''s potential vorticity,potentialVorticityUnit
PVE,Pression du NE utilisant le temperature virtuelle,EL pressure using virtual temperature,hectoPascal
PW,Intégrale verticale de vapeur d''eau,Water Vapor Vertical Integral,centimeter
PX,Pression du modèle,Pressure of the Model,hectoPascal
PXLP,pression de la parcelle soulevee,Pressure of lifted parcel,hectoPascal
PXPS,pression le long de la pseudoadiabatique,pressure along a pseudoadiabat,hectoPascal
PXSA,Pression du modèle atmosphere standard,Pressure of the model standard atmosphere,millibar
PXXX,Pression sur une surface de valeur fixe d''un champ,Pressure on a surface of a fixed value of a field,hectoPascal
PY,Accumulation de précipitation de la convection profonde,Deep convection accumulated precipitation,meter
PZ,Taux de précipitation de la convection restreinte,Shallow convection precipitation rate,meter_per_second
Q0,Quantité d''eau dans le sol (0-.07m de profondeur),Amount of Water in the Ground (0-0.07m deep),kilogram_per_squareMeter
Q1,Quantité d''eau dans le sol (0-.50m de profondeur),Amount of Water in the Ground (0-.50m deep),kilogram_per_squareMeter
Q2,Quantité d''eau dans le sol (0- 1 m de prof.),Amount of Water in the Ground (0- 1 m deep),kilogram_per_squareMeter
Q4,Humidification (Fritsch-Chappell),Humidification (Fritsch-Chappell),inverseSecond
Q5,Tendance de NP (convection et condensation),NP Tendency (convection and condensensation),inverseSecond
Q6,Tendance de QC (Kain-Fritsch),QC Tendency (Kain-Fritsch),inverseSecond
Q7,tendance de NP (Kain-Fritsch),NP Tendency (Kain-Fritsch),inverseSecond
QA,Humidification par ajustement convectif,Humidification by Convective Adjustment,inverseSecond
QBT1,Rapport de melange 3D-gouttelettes de nuage (Milbrandt-Yau),3D cloud droplets mixing ratio (Milbrandt-Yau),kilogram_per_kilogram
QC,Rapport de melange du condensat total (Sundquivst),Mixing ratio of total condensate (Sundquivst),kilogram_per_kilogram
QCT1,Rapport de melange du nuage (liquide) (Mil-Yau+Kong-Yau),Mixing ratio of cloud (liquid) (Milbrandt-Yau+Kong-Yau),kilogram_per_kilogram
QD,Rapport de melange du condensat(expl+impl)--liquide(M-Yau/K-Yau)--total(Sund),Mixing Ratio of condensate(expl+impl)--liquid(M-Yau/K-Yau)--total(Sund),kilogram_per_kilogram
QDM,Quantité du type de précipitation dominant,Dominant precipitation type quantity,meter
QE,Contenu en glace de nuage a T+DT,Cloud Ice Content at T+DT,kilogram_per_kilogram
QF,Humidification par flux de surface,Humidification by Surface Flux,inverseSecond
QG,Humidité spécifique à la surface,Spécifique Humidity at Ground Level,kilogram_per_kilogram
QGT1,Rapport de melange de neige roulee (Milbrandt-Yau+Kong-Yau),Mixing ratio of graupel (Milbrandt-Yau+Kong-Yau),kilogram_per_kilogram
QHT1,Rapport de melange de grele (Milbrandt-Yau),Mixing ratio of hail (Milbrandt-Yau),kilogram_per_kilogram
QI,Rapport de melange-glace (cristaux) (Mil-Yau+Kong-Yau),Mixing ratio of ice (crystals) (Mil-Yau+Kong-Yau),kilogram_per_kilogram
QIT1,Rapport de melange-glace (cristaux) (Mil-Yau+Kong-Yau),Mixing ratio of ice (crystals) (Mil-Yau+Kong-Yau),kilogram_per_kilogram
QJT1,Rapport de melange 3D-particules de neige roulee (Mil-Yau),3D graupel particles mixing ratio (Milbrandt-Yau),kilogram_per_kilogram
QK,Humidification due à la convection,Moistening due to Convection,kelvin_per_day
QLT1,Rapport de melange 3D-gouttes de pluie (Milbrandt-Yau),3D rain drops mixing ratio (Milbrandt-Yau),kilogram_per_kilogram
QM,Valeur minimum de Q0,Minimum Value of Q0,kilogram_per_squareMeter
QNT1,Rapport de melange de la neige (Milbrandt-Yau),Mixing ratio of snow (Milbrandt-Yau),kilogram_per_kilogram
QP,Tourbillon isobarique,Isobaric Vorticity,inverseSecond
QQ,Tourbillon absolu,Absolute Vorticity,inverseSecond
QR,Tourbillon relatif,Relative Vorticity,inverseSecond
QRT1,Rapport de melange de la pluie (Milbrandt-Yau+Kong-Yau),Mixing ratio of rain (Milbrandt-Yau+Kong-Yau),kilogram_per_kilogram
QSP,Debit specifique,Specific discharge,squareMeter_per_second
QT,Tendance de QC (convection et condensation),QC Tendancy (convection and condensation),inverseSecond
QV,rapport de melange de la vapeur d''eau,Water vapour mixing ratio,gram_per_kilogram
QW,Contenu d''eau nuageuse a T+DT,Cloud Water Content at T+DT,kilogram_per_kilogram
R0,Rapport diag. instantanee solide/liquide (Dube),Instantaneous diag. solid/liquid ratio (Dube),kilogram_per_kilogram
R1,Hydrocarbure gaseux 1e groupe réactif,hydrocarbon Gas 1st Reactive Grouping,parts_per_billion
R2,Hydrocarbure gazeux 2nd groupe réactif,Hydrocarbon gas 2nd reactive grouping,parts_per_billion
R3,Hydrocarbure gazeux 3rd groupe réactif,Hydrocarbon gas 3rd Reactive Grouping,parts_per_billion
R4,Hydrocarbure gazeux 4th groupe réactif,Hydrocarbon gas 4th Reactive Grouping,parts_per_billion
R5,Hydrocarbure gazeux 5th groupe réactif,Hydrocarbon gas 5th Reactive Grouping,parts_per_billion
R6,Hydrocarbure gazeux 6th groupe réactif,Hydrocarbon gas 6th Reactive Grouping,parts_per_billion
RA,Type de précipitations - pluie,Precipitation Type - Rain,scalar
RB,Nombre de Richardson (moyenné sur le volume),Bulk Richardson Number,scalar
RC,Taux de précipitation convective,Convective Precipitation Rate,meter_per_second
RD,Resistance Aerodynamique,Aerodynamic Resistance,meter_per_second
RE,Facteur de refroidissement éolien,Wind Chill Factor,celsius
REMN,facteur de refroidissement éolien minimal sur une periode,Minimum wind chill factor over a period,scalar
RF,Flux des precipitations liquides,Liquid Precipitation Flux,kilogram_per_squareMeter_per_second
RFR1,Taux de precipitation- bruine verglacante (Mil-Yau),Precipitation rate-freezing drizzle (Mil-Yau),meter_per_second
RFR2,Taux de precipitation- pluie verglacante (Mil-Yau),Precipitation rate-freezing rain (Mil-Yau),meter_per_second
RH,Flux infra-rouge vers le haut,Outgoing Infrared Flux,watt_per_squareMeter
RI,Givrage blanc,Rime Icing,scalar
RJ,Facteur de Rejection(Pseudo-analyse ISBA),Rejection Factor(from ISBA pseudo-analysis),scalar
RMX,Taux de precipitation-precipitation mixte (Mil-Yau),Precipitation rate-Mixed precipitation (Mil-Yau),meter_per_second
RN,Pluie (QPF),Rain (QPF),meter
RN1,Bruine liquide accumulee (Mil-Yau),Accumulated liquid drizzle (Mil-Yau),meter
RN2,Pluie liquide accumulee (Mil-Yau),Accumulated liquid rain (Mil-Yau),meter
RO,Radical libre Alkoxyl (RO),Alkoxyl Free Radical (RO),parts_per_billion
RPE1,Taux de precipitation- gresil (Mil-Yau),Precipitation rate-Ice pellets (Mil-Yau),meter_per_second
RPE2,Taux de precipitation-grele (Mil-Yau),Precipitation rate-Hail (Mil-Yau),meter_per_second
RPEL,Taux de precipitation- gros grelons (Mil-Yau),Precipitation rate-Large hail (Mil-Yau),meter_per_second
RR,Taux de précipitations liquide,Rainfall Rate,meter_per_second
RRN1,Taux de precipitation- bruine liquide (Mil-Yau),Precipitation rate-Liquid drizzle (Mil-Yau),meter_per_second
RRN2,Taux de precipitation- pluie liquide (Mil-Yau),Precipitation rate-Liquid rain (Mil-Yau),meter_per_second
RS,Résistance stomatique,Stomatal Resistance,second_per_meter
RS2L,Rapport instantanee solide/liquide (Mil-Yau),Instantaneous solid to liquid ratio (Mil-Yau),kilogram_per_kilogram
RSG,Taux de precipitation de la grele,Graupel Precipitation Rate (Grid Scale Cond.),meter_per_second
RSH,Taux de precipitation du gresil,Hail Precipitation Rate (Grid Scale Cond.),meter_per_second
RSN,Taux de precipitation de la neige,Snow Precipitation Rate (Grid Scale Cond.),meter_per_second
RSN1,Taux de precipitation-cristaux de glace (Mil-Yau),Precipitation rate-Ice crystals (Mil-Yau),meter_per_second
RSN2,Taux de precipitation-neige (Mil-Yau),Precipitation rate-Snow (Mil-Yau),meter_per_second
RSN3,Taux de precipitation-neige roulee (Mil-Yau),Precipitation rate-Graupel (Mil-Yau),meter_per_second
RSND,Taux de precipitation- neige solide totale(Mil-Yau),Precipitation rate-Solid total snow (Mil-Yau),meter_per_second
RT,Taux de precipitation total,Total Precipitation Rate,meter_per_second
RU,Ruisselement de surface (précipitation - évaporation),Surface Run-off (precipitation - evaporation),kilogram_per_squareMeter
RX,Radical libre Peroxyl (Alkyl) (RO2),Peroxyl Free Radical (Alkyl) (RO2),parts_per_billion
RY,Taux de précipitation de la convection profonde,Deep convection precipitation rate,meter_per_second
RZ,Taux de précipitation de la convection restreinte,Shallow convection precipitation rate,meter_per_second
S,Niveau sigma (2000. + 10000. * sigma),Sigma Level (2000. + 10000. * sigma),scalar
S2,Dioxyde de soufre gaseux (SO2),Sulphur Dioxide Gas (SO2),parts_per_billion
S2L,Rapport solide/liquide (Mil-Yau),Solid/Liquid ratio (Mil-Yau),kilogram_per_kilogram
S4,Aérosols de sulfate (SO4),Sulphate Aerosols (SO4),parts_per_billion
SA,Surface utile océanique moyenne (12 mois (QPF),Mean Effective Ocean Area 12 months (QPF),scalar
SALW,Salinite de l''eau,Water Salinity,psu
SB,Hauteur de la couche limite (sigma),Boundary Layer Height (sigma),scalar
SC,Couverture de neige (12 mois) (QPF),Snow Cover (12 months) (QPF),scalar
SD,Profondeur de neige,Snow Depth,centimeter
SDV,Epaisseur volimique de neige (vol/surface),Volumic Snow Depth (vol/area),centimeter
SDWD,Ecart-type-turbulence de la dir. du vent de sfc,Standard deviation-Sfc wind direction turbulence,degree
SDWS,Ecart-type-turbulence de vitesse du vent de sfc,Standard deviation-Sfc wind speed turbulence,meter_per_second
SE,Sommet de la couche limite (sigma),Top of the Boundary Layer (sigma),scalar
SF,Flux des precipitations solides,Solid Precipitation Flux,kilogram_per_squareMeter_per_second
SG,Acide sulphurique gaseux (H2SO4),Sulphuric Acid Gas (H2SO4),parts_per_billion
SH,Probabilité de précipitations (code de 0 a 15),Probability of Precipitation (code 0 to 15),scalar
SHRI,Deformation en cisaillement de la glace,Ice Shear Deformation,1/day
SI,Flux infrarouge net en surface,Net Infrared Flux at the Ground,watt_per_squareMeter
SI1I,Constrainte principale 1 normalisee,Normalized pricipal stress 1,scalar
SI2I,Constrainte principale 2 normalisee,Normalized pricipal stress 2,scalar
SIFI,Radiation Infrarouge vers le haut au sfc (Instantaneous),Upward IR Radiation at sfc (Instantaneous),watt_per_squareMeter
SIII,Pression interne de la glace integree sur la verticale(module),Vertically integrated ice internal pressure(modulus),newtonMeter
SK,Neige emmagasine sur la canope,Snow stored on Canopy,scalar
SL,Ion sulfite en solution (SO3),Sulphite Ion in Solution (SO3),parts_per_billion
SLQR,Rapport neige/eau (Dube),Snow-to-Liquid Ratio (Dube),percent
SLW,Contenu en eau a l''etat liquid en surfusion totale-microphysiques(Mil-Yau),Total supercooled liquid water content-microphysics(Mil-Yau),massDensity
SLWC,Contenu en eau a l''etat liquid en surfusion totale-microphysiques(Mil-Yau) des nuages uniquement,Total supercooled liquid water content-microphysics(Mil-Yau) in clouds only,massDensity
SLWR,Contenu en eau a l''etat liquid en surfusion totale-microphysiques(Mil-Yau) de la pluie et/ou grezil uniquement,Total supercooled liquid water content-microphysics(Mil-Yau) in rain/drizzle only,massDensity
SM,Masque terre-mer (12 mois) (QPF),Land-Sea Mask (12 months) (QPF),scalar
SN,Neige (QPF),Snow (QPF),meter
SN1,Cristaux de glace accumules (Mil-Yau),Accumulated ice crystals (Mil-Yau),meter
SN10,Accumulation de neige avec rapport classique de 10,Snowfall accumulation using classic 10:1 ratio,centimeter
SN2,Neige accumulee (Mil-Yau),Accumulated snow (Mil-Yau),meter
SN3,Neige roulee accumulee (Mil-Yau),Accumulated graupel (Mil-Yau),meter
SND,Neige fondant totale,Total Unmelted snow,meter
SNLR,Accumulation de neige avec rapport SLQR,Snow accumulation with SLQR ratio,meter
SO,Aérols de suie (soot(c)),Soot Aerosols (soot(c)),parts_per_billion
SP,Précipitations de petite échelle (QPF),Small Scale Precip (QPF),scalar
SQ,Période de l''onde,Swell Period,second
SR,Type de précipitation - neige-pluie,Precipitation Type - Snow-Rain,scalar
SS,Suie en suspension et en phase liquide (c),Soot Suspension in Liquid Phase (c),parts_per_billion
SS1X,sel de mer 2.5um,sea salt fine (2.5um),microgram_per_cubicMeter
SS2X,sel de mer 10um,sea salt coarse (10um),microgram_per_cubicMeter
SSH,Anomalie de la hauteur de la surface de l''eau,Water surface height anomaly,meter
ST,Hauteur des stations,Stations Height,meter
STGI,Resistance de la glace en compression integreee sur la verticale,Vertically integrated compressive ice strength,newtonMeter
SU1X,sulfate 2.5um,sulphate fine (2.5um),microgram_per_cubicMeter
SU2X,sulfate 10um,sulphate coarse (10um),microgram_per_cubicMeter
SV,Niveau sigma (vent geopotentiel),Sigma Level (Wind Geopotentiel),scalar
SVP,pression de vapeur saturante,Saturation vapour pressure,hectoPascal
SW,indice SWEAT,SWEAT index,scalar
SZ,Hauteur de l''onde,Swell Height,meter
T*,Température représentative d''un niveau,Representative Temperature at a given level,kelvin
T1,Température au sommet du nuage,Temperature at the Top of the Cloud,kelvin
T2,Taux de réchauffement du a la radiation solaire,Heating Rate due to Solar Radiation,kelvin_per_second
T3,Taux de réchauffement du a la chaleur latente de precipitation,Heating Rate due to latent heat of precipitation,kelvin_per_second
T4,Réchauffement convectif (Fritsch-Chappell),Convective Heating (Fritsch-Chappell),kelvin_per_second
T5,Température médiane 50% histogramme,Median Temperature 50% Histogram,kelvin
T6,Types de precipitation instantane RA/RS/ZR/IP/SN/NIL,Instantaneous Precipitation Types RA/RS/ZR/IP/SN/NIL,scalar
T7,Temperature minimale,Minimum Temperature,celsius
T8,Temperature maximale,Maximum Temperature,celsius
T9,Température 90% histogramme,Temperature 90% Histogram,kelvin
TA,Taux de réchauffement total dû à la chaleur latente de précipitation,Total Precipitation Latent Heating Rate,kelvin_per_second
TA2,C2 Alcane,C2 Alkene,microgram_per_kilogram
TA3,C3 Alcane,C3 Alkane,microgram_per_kilogram
TALD,acetaldehyde,acetaldehyde,microgram_per_kilogram
TAM1,ammonium 2.5um (ESPECES CAM),ammonium fine (2.5um) (CAM SPECIES),microgram_per_kilogram
TAM2,ammonium 10um (ESPECES CAM),ammonium coarse (10um) (CAM SPECIES),microgram_per_kilogram
TARO,Aromatique,Aromatic,microgram_per_kilogram
