stationintlid, stationalphaid , canregcode, stationname, latdegmin, latitudecardinaldirection , londegmin, longitudecardinaldirection , stationelevation, terrainelevation, dataavailabilitycode, stationreliabilityflag
'67000','FMMY',NULL,'VATOMANDRY',1922,'S',4856,'E',6,6,'2','1'
'67000','FVCP',NULL,'CHARLES PRINCE, ZI',1745,'S',3055,'E',NULL,1478,'1','1'
'67000','FVGR',NULL,'MUTARE GRAND REEF, ZI',1859,'S',3227,'E',NULL,1019,'1','1'
'67000','FVMD',NULL,'MOUNT DARWIN, ZI',1646,'S',3134,'E',NULL,988,'1','1'
'67001',NULL,NULL,'MORONI AIRPORT (GRANDE-COMORE), KM',1142,'S',4314,'E',6,6,'2','1'
'67002',NULL,NULL,'HAHAYA INT.AIRPORT, KM',1132,'S',4316,'E',29,29,'2','1'
'67004','FMCV',NULL,'OUANI (ANJOUAN), KM',1207,'S',4426,'E',12,19,'2','1'
'67005','FMCZ',NULL,'PAMANDZI (MAYOTTE), KM',1248,'S',4516,'E',7,7,'2','1'
'67009','FMNA',NULL,'DIEGO-SUAREZ',1221,'S',4918,'E',105,114,'2','1'
'67012','FMNN',NULL,'FASCENE (NOSSI-BE)',1319,'S',4819,'E',9,10,'2','1'
'67017',NULL,NULL,'VOHEMAR',1322,'S',5000,'E',5,6,'2','1'
'67019',NULL,NULL,'ANALALAVA',1438,'S',4746,'E',57,105,'2','1'
'67020',NULL,NULL,'ANTSOHIHY',1453,'S',4759,'E',NULL,23,'2','1'
'67022','FMND',NULL,'ANDAPA',1439,'S',4937,'E',474,473,'2','1'
'67023','FMNS',NULL,'SAMBAVA, MG',1417,'S',5010,'E',5,5,'2','1'
'67025',NULL,NULL,'ANTALAHA, MG',1453,'S',5015,'E',88,87,'2','1'
'67027','FMNM',NULL,'MAJUNGA, MG',1540,'S',4621,'E',18,26,'1','1'
'67037','FMNQ',NULL,'BESALAMPY, MG',1645,'S',4429,'E',36,38,'2','1'
'67045',NULL,NULL,'MAEVATANANA, MG',1657,'S',4650,'E',79,76,'2','1'
'67056',NULL,NULL,'AMBATOMAINTY, MG',1741,'S',4510,'E',430,430,'2','1'
'67067',NULL,NULL,'AMBOHITSILAOZANA, MG',1738,'S',4830,'E',780,NULL,'1','1'
'67072','FMMS',NULL,'SAINTE-MARIE AERODROME',1705,'S',4949,'E',3,2,'2','1'
'67073',NULL,NULL,'MAINTIRANO',1803,'S',4402,'E',23,23,'2','1'
'67083','FMMI',NULL,'ANTANANARIVO/IVATO, MG',1848,'S',4729,'E',1276,1279,'3','1'
'67085','FMMD',NULL,'ANTANANARIVO, MG',1848,'S',4729,'E',1276,1279,'3','1'
'67095','FMMT',NULL,'TAMATAVE',1807,'S',4924,'E',6,5,'2','1'
'67107',NULL,NULL,'ANTSIRABE',1949,'S',4704,'E',1532,1523,'1','1'
'67113','FMMH',NULL,'MAHANORO, MG',1950,'S',4848,'E',5,5,'2','1'
'67117','FMMV',NULL,'MORONDAVA, MG',2017,'S',4419,'E',8,7,'2','1'
'67131',NULL,NULL,'MOROMBE',2145,'S',4322,'E',4,5,'2','1'
'67135',NULL,NULL,'BEROROHA, MG',2140,'S',4510,'E',530,530,'2','1'
'67137',NULL,NULL,'FIANARANTSOA',2127,'S',4706,'E',1109,1115,'3','1'
'67143','FMSM',NULL,'MANANJARY, MG',2112,'S',4822,'E',6,5,'2','1'
'67152','FMSO',NULL,'RANOHIRA, MG',2233,'S',4524,'E',824,824,'1','1'
'67157','FMSG',NULL,'FARAFANGANA',2248,'S',4750,'E',6,8,'2','1'
'67161','FMST',NULL,'TULEAR',2323,'S',4344,'E',8,8,'2','1'
'67194',NULL,NULL,'FAUX-CAP',2533,'S',4532,'E',22,22,'2','1'
'67197','FMSD',NULL,'FORT-DAUPHIN',2502,'S',4657,'E',9,8,'2','1'
'67205','FQMP',NULL,'MOCIMBOA DA PRAIA',1121,'S',4022,'E',29,27,'2','1'
'67215','FQPB',NULL,'PEMBA',1259,'S',4032,'E',50,101,'2','1'
'67217','FQLC',NULL,'LICHINGA, MZ',1318,'S',3514,'E',1365,1364,'3','1'
'67221','FQMR',NULL,'MARRUPA',1344,'S',3733,'E',838,836,'1','1'
'67223',NULL,NULL,'MONTEPUEZ',1308,'S',3902,'E',535,534,'2','1'
'67229',NULL,NULL,'ULONGUE',1444,'S',3421,'E',1311,1270,'1','1'
'67231',NULL,NULL,'CUAMBA',1450,'S',3631,'E',607,606,'1','1'
'67237','FQNP',NULL,'NAMPULA',1506,'S',3917,'E',441,438,'2','1'
'67241',NULL,NULL,'LUMBO',1502,'S',4040,'E',11,10,'2','1'
'67243',NULL,NULL,'ZUMBO',1537,'S',3026,'E',340,343,'2','1'
'67250',NULL,NULL,'SONGO, AO',1536,'S',3246,'E',882,885,'1','1'
'67261','FQTE',NULL,'TETE, MZ',1611,'S',3335,'E',150,149,'2','1'
'67273',NULL,NULL,'ANGOCHE',1613,'S',3954,'E',62,61,'2','1'
'67280',NULL,NULL,'CAIA',1750,'S',3520,'E',45,30,'2','1'
'67283','FQQL',NULL,'QUELIMANE',1753,'S',3653,'E',16,6,'2','1'
'67285',NULL,NULL,'PEBANE',1716,'S',3809,'E',26,25,'2','1'
'67293',NULL,NULL,'CHINDE, MZ',1834,'S',3628,'E',5,5,'2','1'
'67295','FQCH',NULL,'CHIMOIO, MZ',1907,'S',3328,'E',732,731,'1','1'
'67297','FQBR',NULL,'BEIRA',1948,'S',3454,'E',16,8,'2','1'
'67305',NULL,NULL,'MASSANGENA, MZ',2133,'S',3302,'E',136,136,'2','1'
'67308',NULL,NULL,'CHICUALACUALA',2205,'S',3141,'E',453,452,'2','1'
'67309',NULL,NULL,'DINDIZA-GAZA, MZ',2205,'S',3322,'E',NULL,102,'2','1'
'67315','FQVL',NULL,'VILANCULOS',2200,'S',3519,'E',21,20,'2','1'
'67322',NULL,NULL,'FUNHALOURO, MZ',2348,'S',3423,'E',71,71,'2','1'
'67323','FQIN',NULL,'INHAMBANE',2352,'S',3523,'E',15,14,'2','1'
'67327',NULL,NULL,'VILA TRIGO DE MORAI MOZAMBIQUE',2412,'S',3303,'E',NULL,37,'2','1'
'67331',NULL,NULL,'MAPULANGUENE-MAPUTO MOZAMBIQUE',2429,'S',3205,'E',NULL,151,'2','1'
'67335','FQXX',NULL,'XAI XAI',2503,'S',3338,'E',5,4,'2','1'
'67341','FQMA',NULL,'MAPUTO/MAVALANE',2555,'S',3234,'E',44,39,'2','1'
'67346',NULL,NULL,'CHANGALANE',2617,'S',3211,'E',104,100,'2','1'
'67400','FLLA',NULL,'LUANSHYA, ZM',1309,'S',2826,'E',NULL,1249,'1','1'
'67403','FLKB',NULL,'KAWAMBWA',948,'S',2905,'E',1324,1323,'1','1'
'67413','FLBA',NULL,'MBALA, ZM',851,'S',3120,'E',NULL,1673,'1','1'
'67421',NULL,NULL,'CHITIPA',942,'S',3316,'E',1278,1278,'1','1'
'67423','FWKA',NULL,'KARONGA',957,'S',3353,'E',529,529,'2','1'
'67424','FQLU',NULL,'BOLERO',1058,'S',3344,'E',1100,1100,'1','1'
'67441','FLMW',NULL,'MWINILUNGA, ZM',1145,'S',2426,'E',1363,1361,'1','1'
'67461','FLMA',NULL,'MANSA, ZM',1106,'S',2851,'E',1384,1382,'1','1'
'67469',NULL,NULL,'SAMFYA, ZM',1121,'S',2932,'E',1172,1171,'1','1'
'67475','FLKS',NULL,'KASAMA, ZM',1013,'S',3108,'E',1384,1382,'1','1'
'67476',NULL,NULL,'MISAMFU, ZM',1006,'S',3115,'E',NULL,1536,'1','1'
'67477','FLMP',NULL,'MPIKA, ZM',1154,'S',3126,'E',1402,1400,'1','1'
'67481',NULL,NULL,'ISOKA, ZM',1007,'S',3238,'E',NULL,1360,'1','1'
'67485','FWMZ',NULL,'MZIMBA, MW',1153,'S',3337,'E',1351,1349,'1','1'
'67489','FWUU',NULL,'MZUZU, MW',1127,'S',3401,'E',1253,1251,'1','1'
'67493',NULL,NULL,'NKHATA BAY',1136,'S',3418,'E',500,500,'2','1'
'67531','FLZB',NULL,'ZAMBEZI',1332,'S',2307,'E',1078,1077,'1','1'
'67541',NULL,NULL,'KASEMPA',1332,'S',2551,'E',1234,1234,'1','1'
'67543',NULL,NULL,'KABOMPO',1336,'S',2412,'E',NULL,1075,'1','1'
'67551','FLWS',NULL,'SOLWEZI',1211,'S',2623,'E',NULL,1386,'1','1'
'67561','FLND',NULL,'NDOLA',1300,'S',2839,'E',1270,1269,'1','1'
'67563',NULL,NULL,'KAFIRONDA',1236,'S',2807,'E',NULL,1243,'1','1'
'67571',NULL,NULL,'SERENJE',1314,'S',3013,'E',NULL,1384,'1','1'
'67575',NULL,NULL,'MKUSHI',1338,'S',2926,'E',NULL,1237,'1','1'
'67580',NULL,NULL,'MSEKERA',1339,'S',3234,'E',NULL,1025,'1','1'
'67581','FLCP',NULL,'CHIPATA',1333,'S',3235,'E',1032,1028,'1','1'
'67583','FLLD',NULL,'LUNDAZI',1217,'S',3312,'E',NULL,1143,'1','1'
'67584',NULL,NULL,'KASUNGU',1301,'S',3328,'E',1015,1015,'1','1'
'67585',NULL,NULL,'CHITEDZI',1359,'S',3338,'E',1149,1149,'1','1'
'67586','FWKI',NULL,'KAMUZU INTL, MW',1347,'S',3346,'E',1229,1229,'3','1'
'67587',NULL,NULL,'LILONGWE INTL AR, MW',1359,'S',3347,'E',1067,1067,'1','1'
'67588',NULL,NULL,'N.R.C.',1410,'S',3340,'E',1100,1100,'1','1'
'67589',NULL,NULL,'DWANGWA, MW',1229,'S',3405,'E',489,489,'2','1'
'67591',NULL,NULL,'NKHOTA KOTA',1255,'S',3416,'E',500,500,'2','1'
'67597',NULL,NULL,'SALIMA',1345,'S',3435,'E',513,513,'2','1'
'67599','FLMF',NULL,'MFUWE',1316,'S',3156,'E',570,568,'2','1'
'67625','FLKL',NULL,'KALABO, ZM',1451,'S',2242,'E',NULL,1052,'1','1'
'67633','FLMG',NULL,'MONGU',1515,'S',2309,'E',1053,1052,'1','1'
'67641',NULL,NULL,'KAOMA',1448,'S',2448,'E',1213,1213,'1','1'
'67655',NULL,NULL,'MUMBWA',1504,'S',2711,'E',1218,1216,'1','1'
'67659',NULL,NULL,'KAFUE POLDER',1546,'S',2755,'E',NULL,978,'1','1'
'67662',NULL,NULL,'KAWBE AGRIC.',1424,'S',2830,'E',NULL,1165,'1','1'
'67663',NULL,NULL,'KABWE',1427,'S',2828,'E',1207,1206,'1','1'
'67665','FLLS',NULL,'LUSAKA INTERNATIONAL AIRPORT',1519,'S',2827,'E',1154,1152,'1','1'
'67666','FLLC',NULL,'LUSAKA CITY AIRPORT',1525,'S',2828,'E',NULL,1280,'3','1'
'67667',NULL,NULL,'MOUNT MAKULU',1533,'S',2815,'E',NULL,1213,'1','1'
'67673','FLPE',NULL,'PETAUKE, ZM',1415,'S',3117,'E',1036,1035,'1','1'
'67687',NULL,NULL,'CHICHIRI',1547,'S',3502,'E',1141,1141,'1','1'
'67689',NULL,NULL,'DEDZA',1419,'S',3416,'E',1632,1630,'1','1'
'67690',NULL,NULL,'MONKEY BAY',1405,'S',3455,'E',474,474,'1','1'
'67692',NULL,NULL,'MAKOKA',1531,'S',3513,'E',1028,1028,'1','1'
'67693',NULL,NULL,'CHILEKA',1541,'S',3458,'E',767,766,'3','1'
'67695',NULL,NULL,'MANGOCHI',1426,'S',3515,'E',485,485,'2','1'
'67696',NULL,NULL,'CHIKWEO',1445,'S',3540,'E',717,717,'3','1'
'67699',NULL,NULL,'MIMOSA',1605,'S',3535,'E',653,653,'1','1'
'67731',NULL,NULL,'SENANGA',1606,'S',2316,'E',NULL,1027,'1','1'
'67741','FLSS',NULL,'SESHEKE, ZB',1728,'S',2418,'E',951,949,'1','1'
'67743','FLLI',NULL,'LIVINGSTONE',1749,'S',2549,'E',986,985,'1','1'
'67751',NULL,NULL,'MAGOYE',1600,'S',2736,'E',NULL,1018,'3','1'
'67753','FLCH',NULL,'CHOMA, ZM',1650,'S',2704,'E',1278,1213,'1','1'
'67755',NULL,NULL,'BINGA',1737,'S',2720,'E',617,620,'1','1'
'67761','FVKB',NULL,'KARIBA',1631,'S',2853,'E',518,518,'2','1'
'67765',NULL,NULL,'KAROI',1650,'S',2937,'E',1344,1343,'1','1'
'67767',NULL,NULL,'KANYEMBA',1538,'S',3025,'E',NULL,329,'2','1'
'67771',NULL,NULL,'CHINHOYI',1722,'S',3012,'E',NULL,1140,'1','1'
'67773',NULL,NULL,'GURUVE',1639,'S',3042,'E',NULL,1180,'1','1'
'67774',NULL,NULL,'HARARE(BELVEDERE)',1750,'S',3101,'E',1472,1471,'3','1'
'67775','FVHA',NULL,'HARARE (KUTSAGA), ZW',1755,'S',3108,'E',1480,1479,'1','1'
'67779',NULL,NULL,'MOUNT DARWIN',1647,'S',3135,'E',966,965,'1','1'
'67781',NULL,NULL,'MUTOKO',1725,'S',3213,'E',1244,1244,'1','1'
'67785',NULL,NULL,'HERNDERSON',1735,'S',3058,'E',NULL,1290,'1','1'
'67789',NULL,NULL,'MVURWI',1702,'S',3051,'E',NULL,1480,'1','1'
'67791',NULL,NULL,'BVUMBWE',1555,'S',3504,'E',1146,1145,'1','1'
'67793',NULL,NULL,'THYOLO',1609,'S',3513,'E',820,820,'1','1'
'67796',NULL,NULL,'NGABU',1630,'S',3457,'E',102,102,'2','1'
'67797',NULL,NULL,'MAKANGA',1631,'S',3509,'E',58,58,'2','1'
'67843','FVFA',NULL,'VICTORIA FALLS',1806,'S',2551,'E',1062,1061,'3','1'
'67853','FVWN',NULL,'HWANGE NATIONAL PARK',1838,'S',2700,'E',1077,1079,'1','1'
'67855',NULL,NULL,'LUPAKI, ZA',1703,'S',2446,'E',NULL,999,'1','1'
'67857',NULL,NULL,'LUSULU ZIMBABWE, ZI',1814,'S',2745,'E',NULL,1109,'1','1'
'67861','FVGO',NULL,'GOKWE, ZW',1813,'S',2856,'E',1282,1282,'1','1'
'67863',NULL,NULL,'NKAYI',1900,'S',2854,'E',1131,1131,'1','1'
'67865',NULL,NULL,'KWEKWE',1856,'S',2950,'E',1215,1213,'1','1'
'67867','FVTL',NULL,'GWERU',1927,'S',2951,'E',1429,1428,'1','1'
'67869',NULL,NULL,'KADOMA',1819,'S',2953,'E',1157,1150,'1','1'
'67871',NULL,NULL,'CHIVHU',1902,'S',3053,'E',1459,1460,'1','1'
'67875',NULL,NULL,'BUHERA',1919,'S',3126,'E',NULL,1190,'1','1'
'67877',NULL,NULL,'GRASSLANDS',1811,'S',3128,'E',1632,1630,'1','1'
'67881',NULL,NULL,'RUSAPE',1832,'S',3208,'E',1430,1430,'1','1'
'67885',NULL,NULL,'MUTARE/GRAND REEF, ZW',1859,'S',3227,'E',1017,1017,'3','1'
'67889',NULL,NULL,'WYANGA',1817,'S',3245,'E',NULL,1880,'1','1'
'67891',NULL,NULL,'MHONDORO',1919,'S',3036,'E',NULL,1260,'1','1'
'67895',NULL,NULL,'MUKANDI',1843,'S',3251,'E',NULL,1270,'1','1'
'67897',NULL,NULL,'CHISENGU',1953,'S',3253,'E',NULL,1480,'1','1'
'67899',NULL,NULL,'WEDZA',1837,'S',3134,'E',NULL,1380,'1','1'
'67951',NULL,NULL,'PLUMTREE',2029,'S',2748,'E',NULL,1390,'1','1'
'67961',NULL,NULL,'KEZI',2055,'S',2827,'E',NULL,1020,'1','1'
'67963',NULL,NULL,'MATOPOS',2023,'S',2830,'E',NULL,1350,'1','1'
'67964',NULL,NULL,'BULAWAYO (GOETZ OBSY.)',2009,'S',2837,'E',1344,1343,'3','1'
'67965','FVBU',NULL,'BULAWAYO AIRPORT, ZW',2001,'S',2837,'E',1326,1326,'1','1'
'67967',NULL,NULL,'TULI',2123,'S',2859,'E',NULL,770,'1','1'
'67969',NULL,NULL,'WEST NICHOLSON',2103,'S',2922,'E',861,860,'1','1'
'67971',NULL,NULL,'ZVISHAVANE',2019,'S',3004,'E',NULL,980,'1','1'
'67974',NULL,NULL,'MAKOHOLI',1950,'S',3047,'E',NULL,NULL,'1','1'
'67975','FVMV',NULL,'MASVINGO',2004,'S',3052,'E',1095,1094,'3','1'
'67976',NULL,NULL,'RUPIKE',2033,'S',3105,'E',700,700,'1','1'
'67977','FVCZ',NULL,'BUFFALO RANGE',2101,'S',3135,'E',430,429,'2','1'
'67979',NULL,NULL,'ZAKA',2020,'S',3128,'E',NULL,770,'1','1'
'67983',NULL,NULL,'CHIPINGE',2012,'S',3237,'E',1132,1131,'1','1'
'67991',NULL,NULL,'BEITBRIDGE',2213,'S',3000,'E',457,456,'2','1'
'68000','FDSM',NULL,'SIMUNYE AIRPORT,LU, SZ',2612,'S',3156,'E',205,205,'2','1'
'68000','FDNS',NULL,'NSOKO AIRPORT, SZ',2702,'S',3156,'E',NULL,187,'2','1'
'68000','FYSF',NULL,'SESFONTEIN, NA',1908,'S',1336,'E',564,564,'2','1'
'68000','FYMH',NULL,'MALTAHOEHE/MALTAHOHE,HA, NA',2446,'S',1659,'E',1375,1375,'1','1'
'68000','FYAB',NULL,'AROAB B AIRPORT,KA, NA',2647,'S',1938,'E',986,986,'1','1'
'68000','FYOO',NULL,'OKAUKUEJO AIRPORT,KU, NA',1909,'S',1555,'E',1192,1192,'1','1'
'68000','FYND',NULL,'NOORDIEWER, NA',2845,'S',1737,'E',175,175,'2','1'
'68000','FYOK',NULL,'OKAKARARA, NA',2035,'S',1727,'E',1344,1344,'1','1'
'68000','FYTE',NULL,'TERRACE BAT, NA',1959,'S',1302,'E',10,10,'2','1'
'68000','FYTN',NULL,'OTJINENE, NA',2107,'S',1846,'E',1446,1446,'1','1'
'68000','FYAS',NULL,'AUS AIRPORT, NA',2642,'S',1619,'E',1480,1480,'1','1'
'68000','FYOG',NULL,'ORANJEMUND AIRPORT, NA',2835,'S',1627,'E',4,4,'2','1'
'68000','FYSM',NULL,'SWAKOPMUND AIRPORT, NA',2240,'S',1434,'E',63,63,'2','1'
'68000','FYTK',NULL,'TSUMKWE AIRPORT, NA',1935,'S',2027,'E',1152,1152,'1','1'
'68000','FYRH',NULL,'REHOBETH, NA',2315,'S',1704,'E',NULL,1385,'1','1'
'68000','FYRK',NULL,'ROOIKOP (SAAF/CI, NA',2259,'S',1439,'E',NULL,88,'2','1'
'68000','FYOT',NULL,'OOTMOEB, NA',2401,'S',1944,'E',NULL,1204,'1','1'
'68000','FYGB',NULL,'GOBABIS, NA',2225,'S',1859,'E',1465,1465,'1','1'
'68000','FYHN',NULL,'HENTIES BAY, NA',2206,'S',1416,'E',NULL,21,'2','1'
'68000','FYKB',NULL,'KARASBURG, NA',2801,'S',1844,'E',NULL,1017,'1','1'
'68000','FYKG',NULL,'OKONGO, NA',1734,'S',1712,'E',NULL,1152,'1','1'
'68000','FYKX',NULL,'KHORIXAD, NA',2018,'S',1459,'E',NULL,1070,'1','1'
'68000','FYKM',NULL,'KATIMA MULILO, NA',1738,'S',2411,'E',NULL,958,'1','1'
'68000','FYAR',NULL,'ARANDIS, WA',2228,'S',1459,'E',NULL,581,'2','1'
'68000','FATZ',NULL,'TZANEEN, ZA',2349,'S',3020,'E',583,583,'2','1'
'68000','FAWL',NULL,'WILLISTON AIRPORT, ZA',3123,'S',2056,'E',1061,1061,'1','1'
'68000','FALE',NULL,'KING SHAKA INTL AIRPORT, ZA',2937,'S',3107,'E',NULL,NULL,'2','1'
'68000','FAKP',NULL,'KOMATIPOORT, ZA',2525,'S',3155,'E',NULL,152,'2','1'
'68000','FAMS',NULL,'MORNINGSIDE FARM, ZA',2542,'S',2655,'E',NULL,1296,'1','1'
'68000','FASE',NULL,'SABI SABI, ZA',2457,'S',3127,'E',NULL,381,'2','1'
'68000','FAGR',NULL,'GRAAFF REINET, ZA',3212,'S',2433,'E',NULL,789,'1','1'
'68000','FASX',NULL,'HENDRIK SWELLENGREBEL, ZA',3403,'S',2028,'E',NULL,124,'2','1'
'68000','FAHR',NULL,'HARRISMITH, ZA',2814,'S',2906,'E',NULL,1702,'1','1'
'68000','FAMU',NULL,'MKUZI, ZA',2738,'S',3203,'E',NULL,122,'2','1'
'68000','FASD',NULL,'SALDANHA VREDENBURG, ZA',3258,'S',1758,'E',NULL,15,'2','1'
'68000','FALM',NULL,'MAKHADO AFB, ZA',2310,'S',2942,'E',NULL,935,'1','1'
'68000','FAAG',NULL,'AGGENEYS, ZA',2917,'S',1849,'E',NULL,807,'1','1'
'68000','FASZ',NULL,'SKUKUZA, ZA',2458,'S',3135,'E',NULL,311,'2','1'
'68000','FALC',NULL,'LIME ACRES FINSCH MINE, ZA',2822,'S',2326,'E',NULL,1494,'1','1'
'68000','FABO',NULL,'BOTHAVILLE, ZA',2722,'S',2638,'E',NULL,1291,'1','1'
'68000','FATF',NULL,'TOMMYS FLD, ZA',2816,'S',2300,'E',NULL,1329,'1','1'
'68000','FAPI',NULL,'PIETERSBURG, ZA',2356,'S',2929,'E',NULL,1327,'1','1'
'68000','FAMI',NULL,'MARBLE HALL, ZA',2459,'S',2917,'E',NULL,908,'1','1'
'68000','FAKU',NULL,'JOHAN PIENAAR, ZA',2728,'S',2325,'E',NULL,1332,'1','1'
'68000','FAMN',NULL,'MALELANE, ZA',2528,'S',3134,'E',NULL,351,'2','1'
'68000','FAZR',NULL,'ZEERUST, ZA',2536,'S',2603,'E',NULL,1298,'1','1'
'68000','FAGT',NULL,'GRAHAMSTOWN, ZA',3317,'S',2630,'E',NULL,651,'1','1'
'68000','FAHG',NULL,'HEIDELBERG, ZA',2630,'S',2824,'E',NULL,1560,'1','1'
'68000','FAMB',NULL,'MIDDELBURG, ZA',2541,'S',2926,'E',NULL,1489,'1','1'
'68000','FAFB',NULL,'FICKSBURG SENTRAOES, ZA',2849,'S',2755,'E',NULL,1620,'1','1'
'68000','FAPY',NULL,'PARYS, ZA',2653,'S',2730,'E',NULL,1445,'1','1'
'68000','FALO',NULL,'LOUIS TRICHARDT, ZA',2304,'S',2952,'E',NULL,922,'1','1'
'68000','FAKZ',NULL,'KLEINSEE, ZA',2941,'S',1706,'E',NULL,82,'2','1'
'68000','FAHA',NULL,'HARMONY, ZA',2805,'S',2652,'E',NULL,1341,'1','1'
'68000','FAKR',NULL,'KRUGERSDORP, ZA',2605,'S',2744,'E',NULL,1676,'1','1'
'68000','FAYP',NULL,'STERPLAAT, ZA',3354,'S',1830,'E',NULL,16,'2','1'
'68000','FANY',NULL,'NYLSTROOM, ZA',2441,'S',2826,'E',NULL,1189,'1','1'
'68000','FATP',NULL,'NEW TEMPE, ZA',2902,'S',2609,'E',NULL,1386,'1','1'
'68000','FAMJ',NULL,'MAJUBA POWER STATION, ZA',2705,'S',2947,'E',NULL,1707,'1','1'
'68000','FAQT',NULL,'QUEENSTOWN, ZA',3155,'S',2653,'E',NULL,1109,'1','1'
'68000','FAHV',NULL,'GARIEP DAM, ZA',3034,'S',2532,'E',NULL,1273,'1','1'
'68000','FASC',NULL,'SECUNDA, ZA',2631,'S',2910,'E',NULL,1600,'1','1'
'68000','FATT',NULL,'TUTUKA POWER STATION, ZA',2647,'S',2920,'E',NULL,1619,'1','1'
'68000','FAMD',NULL,'MALAMALA, ZA',2449,'S',3133,'E',NULL,335,'2','1'
'68000','FYWE',NULL,'EROS',2237,'S',1705,'E',NULL,1699,'1','1'
'68000','FYEN',NULL,'EENHANA',1729,'S',1619,'E',NULL,1115,'1','1'
'68000','FYTM',NULL,'TSUMEB',1916,'S',1744,'E',NULL,1326,'1','1'
'68000','FASK',NULL,'SWARTKOP, ZA',2549,'S',2810,'E',NULL,1456,'1','1'
'68000','FABB',NULL,'BRAKPAN, ZA',2613,'S',2818,'E',NULL,1615,'1','1'
'68000','FNSO',NULL,'SOYO, ZA',608,'S',1222,'E',NULL,5,'2','1'
'68000','FAKN',NULL,'KRUGER MPUMALANGA INTnullL, ZA',2523,'S',3106,'E',NULL,862,'1','1'
'68000','FAWB',NULL,'WONDERBOOM / PRETORIA, ZA',2539,'S',2813,'E',NULL,1248,'1','1'
'68000','FACH',NULL,'COOKHOUSE, ZA',3246,'S',2555,'E',NULL,900,'1','1'
'68000','FALA',NULL,'LANSERIA',2556,'S',2756,'E',NULL,1377,'1','1'
'68000','FYLZ',NULL,'LUDERITZ/DIAZ POINT',2641,'S',1515,'E',NULL,130,'2','1'
'68000','FYML',NULL,'MARIENTAL',2436,'S',1756,'E',NULL,1113,'1','1'
'68000','FXMM',NULL,'MASERU/MOSHOESHOE, LS',2927,'S',2733,'E',NULL,1631,'1','1'
'68000','FYOW',NULL,'OTJIWARONGO',2026,'S',1640,'E',NULL,1475,'1','1'
'68000','FYOJ',NULL,'OUTJO',2005,'S',1608,'E',NULL,1324,'1','1'
'68000','FAOB',NULL,'OVERBERG',3435,'S',2016,'E',NULL,75,'2','1'
'68000','FAPP',NULL,'POLOKWANE INTL',2351,'S',2928,'E',NULL,1242,'1','1'
'68000','FAGM',NULL,'RAND, ZA',2615,'S',2809,'E',NULL,1671,'1','1'
'68000','FASR',NULL,'STANSERTON',2656,'S',2913,'E',NULL,1628,'1','1'
'68000','FBMM',NULL,'MAKALAMABEN, BW',2018,'S',2353,'E',NULL,926,'1','1'
'68000','FBTL',NULL,'TULI LODGE',2211,'S',2907,'E',NULL,2050,'1','1'
'68000','FAVE',NULL,'VENTERSDORP',2619,'S',2649,'E',NULL,479,'2','1'
'68000','FAWK',NULL,'WATERKLOOF',2550,'S',2813,'E',NULL,1506,'1','1'
'68001',NULL,NULL,'MPACHA AIRPORT',1738,'S',2411,'E',NULL,985,'1','1'
'68003','FYAN',NULL,'ARANOS, NA',2408,'S',1906,'E',NULL,1189,'1','1'
'68004',NULL,NULL,'OMATJENNE',2024,'S',1631,'E',1100,1369,'1','1'
'68006','FYOA',NULL,'ONDANGWA, NA',1756,'S',1559,'E',1100,1095,'1','1'
'68010',NULL,NULL,'OKAUKUEJO',1911,'S',1555,'E',1100,1102,'1','1'
'68012',NULL,NULL,'TSUMEB, NA',1914,'S',1742,'E',1320,1320,'1','1'
'68013',NULL,NULL,'ONDANGWA, WA',1753,'S',1557,'E',NULL,1096,'1','1'
'68014','FYGF',NULL,'GROOTFONTEIN',1936,'S',1807,'E',1400,1411,'1','1'
'68015',NULL,NULL,'OTJIWARONGO',2026,'S',1640,'E',NULL,1475,'1','1'
'68016',NULL,NULL,'MOWE BAY',1920,'S',1243,'E',0,16,'2','1'
'68017',NULL,NULL,'KATIMA MULILO, NA',1730,'S',2415,'E',949,949,'1','1'
'68180',NULL,NULL,'MACUVILLE MESSINA, ZM',2216,'S',2954,'E',525,525,'2','1'
'68018','FYRU',NULL,'RUNDU, NM',1755,'S',1946,'E',1100,1083,'1','1'
'68024','FBGZ',NULL,'GHANZI, BW',2142,'S',2139,'E',1100,1131,'3','1'
'68025',NULL,NULL,'PANDAMATENGA, BW',1816,'S',2538,'E',1064,1064,'1','1'
'68026','FBSW',NULL,'SHAKAWE, BW',1822,'S',2151,'E',1000,1032,'3','1'
'68029','FBKE',NULL,'KASANE, BW',1749,'S',2509,'E',1000,968,'3','1'
'68030','FBPA',NULL,'PANDAMATENGA, BW (AUT)',1832,'S',2538,'E',1071,NULL,'3','1'
'68031',NULL,NULL,'MOREMI, BW (AUT)',1920,'S',2325,'E',NULL,964,'1','1'
'68032','FBMN',NULL,'MAUN, BW',1959,'S',2325,'E',900,945,'1','1'
'68034',NULL,NULL,'GWETA, BW (AUT)',2015,'S',2505,'E',NULL,927,'1','1'
'68038','FBSN',NULL,'SUA-PAN, BW',2028,'S',2559,'E',904,903,'3','1'
'68040','FBLT',NULL,'LETLHAKANE, BW',2125,'S',2536,'E',985,986,'3','1'
'68054','FBFT',NULL,'FRANCISTOWN, BW',2113,'S',2730,'E',1000,1001,'3','1'
