stationintlid, stationalphaid , canregcode, stationname, latdegmin, latitudecardinaldirection , londegmin, longitudecardinaldirection , stationelevation, terrainelevation, dataavailabilitycode, stationreliabilityflag
'60318','GMTN',NULL,'TETUAN, MC',3535,'N',520,'W',10,10,'2','1'
'60320',NULL,NULL,'CEUTA, SP',3555,'N',521,'W',88,87,'2','1'
'60338','GEML',NULL,'MELILLA, SP (AUT)',3517,'N',257,'W',55,47,'2','1'
'60340','GMFN',NULL,'NADOR-AROUI, MC',3459,'N',301,'W',177,175,'2','1'
'60351','DAAV',NULL,'JILEL-ACHOUAT, DZ',3648,'N',553,'E',10,8,'2','1'
'60353','DABJ',NULL,'JILEL-PORT, DZ',3649,'N',553,'E',6,2,'2','1'
'60355','DABP',NULL,'SKIKDA, DZ',3653,'N',654,'E',3,2,'2','1'
'60360','DABB',NULL,'ANNABA, DZ',3650,'N',749,'E',4,3,'2','1'
'60367','DABK',NULL,'EL-KALA, DZ',3654,'N',827,'E',13,11,'2','1'
'60369','DAPA',NULL,'ALGER PORT, DZ',3646,'N',306,'E',12,9,'2','1'
'60374',NULL,NULL,'CAPE CAXINE, DZ',3649,'N',257,'E',33,33,'2','1'
'60376',NULL,NULL,'BORDJ-EL-BAHRI, DZ',3649,'N',316,'E',58,58,'2','1'
'60387','DAPL',NULL,'DELLYS, DZ',3655,'N',357,'E',8,5,'2','1'
'60390','DAAG',NULL,'DAR EL BEIDA, DZ',3641,'N',313,'E',29,25,'2','1'
'60395','DAMZ',NULL,'TIZI-OUZOU, DZ',3642,'N',403,'E',189,188,'2','1'
'60401','DAPB',NULL,'BEJAIA-PORT, DZ',3645,'N',506,'E',4,3,'2','1'
'60402','DAAE',NULL,'BEJAIA-AEROPORT, DZ',3643,'N',504,'E',3,2,'2','1'
'60403','DABG',NULL,'GUELMA, DZ',3628,'N',728,'E',228,227,'2','1'
'60405','DABF',NULL,'BOUCHEGOUF, DZ',3630,'N',743,'E',111,110,'2','1'
'60410','DAPT',NULL,'TENES, DZ',3630,'N',120,'E',18,17,'2','1'
'60415','DAMA',NULL,'AIN-BESSAM, DZ',3619,'N',332,'E',NULL,748,'2','1'
'60417','DAMB',NULL,'BOUIRA, DZ',3623,'N',353,'E',560,555,'1','1'
'60419','DABC',NULL,'CONSTANTINE, DZ',3617,'N',637,'E',694,693,'1','1'
'60421','DABO',NULL,'OUM EL BOUAGHI, DZ',3552,'N',707,'E',891,889,'3','1'
'60423','DABQ',NULL,'SOUK AHRAS, DZ',3617,'N',758,'E',680,NULL,'1','1'
'60425','DAOI',NULL,'CHLEF, DZ',3613,'N',120,'E',144,143,'2','1'
'60430','DAAI',NULL,'MILIANA, DZ',3618,'N',214,'E',721,715,'1','1'
'60437','DAMD',NULL,'MEDEA, DZ',3617,'N',244,'E',1036,1030,'1','1'
'60444','DABR',NULL,'BORDJ-BOU-ARRERIDJ, DZ',3604,'N',446,'E',930,928,'1','1'
'60445','DAAS',NULL,'SETIF, DZ',3611,'N',515,'E',1040,1033,'1','1'
'60452','DAPZ',NULL,'ARZEW, DZ',3549,'N',16,'W',4,3,'2','1'
'60457','DAOG',NULL,'MOSTAGANEM, DZ',3553,'N',7,'E',138,137,'2','1'
'60461','DAPO',NULL,'ORAN-PORT, DZ',3542,'N',39,'W',22,NULL,'2','1'
'60467','DABM',NULL,'MnullSILA, DZ',3540,'N',430,'E',442,441,'2','1'
'60468','DABT',NULL,'BATNA, DZ',3545,'N',619,'E',826,822,'3','1'
'60471','DABI',NULL,'BARIKA, DZ',3520,'N',520,'E',461,460,'2','1'
'60475','DABS',NULL,'TEBESSA, DZ',3525,'N',807,'E',823,821,'1','1'
'60476','DABH',NULL,'KHENCHELLA, DZ',3528,'N',705,'E',987,983,'1','1'
'60481','DAOL',NULL,'ORAN-TAFARAOUI, DZ',3529,'N',31,'W',111,110,'2','1'
'60482',NULL,NULL,'CAPE AIGUILLE, DZ',3552,'N',29,'W',62,62,'2','1'
'60490','DAOO',NULL,'ORAN-SENIA, DZ',3538,'N',36,'W',91,90,'2','1'
'60492','DAAZ',NULL,'RELIZANE, DZ',3544,'N',33,'E',NULL,75,'2','1'
'60506','DAOM',NULL,'MASCARA-MATEMORE, DZ',3536,'N',18,'E',476,474,'2','1'
'60507','DAOV',NULL,'MASCARA-GHRISS, DZ',3513,'N',9,'E',513,511,'2','1'
'60511','DAOB',NULL,'TIARET, DZ',3521,'N',128,'E',978,977,'3','1'
'60514','DAAC',NULL,'KSAR CHELLALA, DZ',3510,'N',219,'E',801,800,'3','1'
'60515','DAAD',NULL,'BOU-SAADA, DZ',3520,'N',412,'E',461,459,'2','1'
'60517','DAPH',NULL,'GHAZAOUET, DZ',3506,'N',152,'W',5,4,'2','1'
'60518','DAOT',NULL,'BENI-SAF, DZ',3518,'N',121,'W',70,68,'2','1'
'60520','DAOS',NULL,'SIDI-BEL-ABBES, DZ',3512,'N',37,'W',476,475,'2','1'
'60522','DAOH',NULL,'MAGHNIA, DZ',3449,'N',147,'W',428,427,'2','1'
'60525','DAUB',NULL,'BISKRA, DZ',3448,'N',544,'E',89,82,'2','1'
'60531','DAON',NULL,'TLEMCEN-ZENATA, DZ',3501,'N',128,'W',247,246,'2','1'
'60535','DAFI',NULL,'DJELFA, DZ',3420,'N',323,'E',1185,1180,'3','1'
'60536','DAOD',NULL,'SAIDA, DZ',3452,'N',9,'E',752,750,'3','1'
'60540','DAOK',NULL,'EL-KHEITER, DZ',3409,'N',4,'E',1001,1000,'3','1'
'60545','DAUL',NULL,'LAGHOUAT, DZ',3346,'N',256,'E',763,762,'3','1'
'60549','DAAY',NULL,'MECHERIA, DZ',3335,'N',17,'W',1150,1149,'3','1'
