label,value
'RAW',0
'FLOAT',1
'INTEGER',4
'UNSIGNED',2
'CHARACTER',3
'IEEE',5
'FLOAT_FOR_COMPRESSOR',6
'STRING',7
'COMPLEX_IEEE',8
'COMPRESSED_UNSIGNED',130
'COMPRESSED_IEEE',133
'COMPRESSED_FLOAT',134
