stationalphaid, latitude, longitude, terrainelevation, unknown1, stationname, stationintlid, stationintlid2, unknown2, inputfile
'YYB',46.363889,280.575833,1.215,NULL,'NORTH BAY, ONT',71731,NULL,'T 3','/users/dor/afsy/pst/.ocm/writerAsciiBulletinFB/datafiles/constants/ffdstns_update_stations_20130410_for_SPOOKI'
'YAM',46.485,275.490278,0.63,2,'SAULT STE-MARIE, ONT',72734,71260,'T 4','/users/dor/afsy/pst/.ocm/writerAsciiBulletinFB/datafiles/constants/ffdstns_update_stations_20130410_for_SPOOKI'
'YVV',44.745833,278.892778,0.729,NULL,'WIARTON, ONT',71633,NULL,'T 1','/users/dor/afsy/pst/.ocm/writerAsciiBulletinFB/datafiles/constants/ffdstns_update_stations_20130410_for_SPOOKI'
'YQG',42.275556,277.044444,0.622,NULL,'WINDSOR, ONT',71538,NULL,'T 1','/users/dor/afsy/pst/.ocm/writerAsciiBulletinFB/datafiles/constants/ffdstns_update_stations_20130410_for_SPOOKI'
'YYZ',43.677222,280.369444,0.569,2,'TORONTO, ONT',72528,71624,'T 1','/users/dor/afsy/pst/.ocm/writerAsciiBulletinFB/datafiles/constants/ffdstns_update_stations_20130410_for_SPOOKI'
'YOW',45.3225,284.330833,0.374,NULL,'OTTAWA, ONT',71628,NULL,'M 1','/users/dor/afsy/pst/.ocm/writerAsciiBulletinFB/datafiles/constants/ffdstns_update_stations_20130410_for_SPOOKI'
'YUL',45.470556,286.259167,0.118,NULL,'MONTREAL/DORVAL, QUEBEC',71627,NULL,'M 1','/users/dor/afsy/pst/.ocm/writerAsciiBulletinFB/datafiles/constants/ffdstns_update_stations_20130410_for_SPOOKI'
'YSC',45.438611,288.308611,0.792,NULL,'SHERBROOKE, QUEBEC',71610,NULL,'M 2','/users/dor/afsy/pst/.ocm/writerAsciiBulletinFB/datafiles/constants/ffdstns_update_stations_20130410_for_SPOOKI'
'YQB',46.791111,288.606667,0.244,NULL,'QUEBEC, QUEBEC',71714,NULL,'M 6','/users/dor/afsy/pst/.ocm/writerAsciiBulletinFB/datafiles/constants/ffdstns_update_stations_20130410_for_SPOOKI'
'XUH',48.0,285.0,1.001,1,'48N       75W',NULL,NULL,'M 4','/users/dor/afsy/pst/.ocm/writerAsciiBulletinFB/datafiles/constants/ffdstns_update_stations_20130410_for_SPOOKI'
'WUF',51.0,285.0,1.201,1,'51N       75W',NULL,NULL,'M 8','/users/dor/afsy/pst/.ocm/writerAsciiBulletinFB/datafiles/constants/ffdstns_update_stations_20130410_for_SPOOKI'
'YMV',50.666667,291.166667,1.309,NULL,'MANICOUAGAN, QUEBEC',NULL,NULL,'M10','/users/dor/afsy/pst/.ocm/writerAsciiBulletinFB/datafiles/constants/ffdstns_update_stations_20130410_for_SPOOKI'
'YNI',53.283333,289.1,1.604,NULL,'NITCHEQUON, QUEBEC',71826,NULL,'M12','/users/dor/afsy/pst/.ocm/writerAsciiBulletinFB/datafiles/constants/ffdstns_update_stations_20130410_for_SPOOKI'
'YGW',55.281944,282.234722,0.034,NULL,'KUUJJUARAPIK, QUEBEC',71905,NULL,'M11','/users/dor/afsy/pst/.ocm/writerAsciiBulletinFB/datafiles/constants/ffdstns_update_stations_20130410_for_SPOOKI'
'WUG',57.0,287.0,0.499,1,'57N       73W',NULL,NULL,'M14','/users/dor/afsy/pst/.ocm/writerAsciiBulletinFB/datafiles/constants/ffdstns_update_stations_20130410_for_SPOOKI'
'YPH',58.471944,281.923056,0.083,2,'INUKJUAK, QUEBEC',71907,NULL,'M14','/users/dor/afsy/pst/.ocm/writerAsciiBulletinFB/datafiles/constants/ffdstns_update_stations_20130410_for_SPOOKI'
'YTE',64.230278,283.475,0.158,NULL,'CAPE DORSET, NWT',71910,NULL,'M16','/users/dor/afsy/pst/.ocm/writerAsciiBulletinFB/datafiles/constants/ffdstns_update_stations_20130410_for_SPOOKI'
'YZV',50.223333,293.734444,0.18,2,'SEPT-ILES, QUEBEC',71811,NULL,'M 7','/users/dor/afsy/pst/.ocm/writerAsciiBulletinFB/datafiles/constants/ffdstns_update_stations_20130410_for_SPOOKI'
'YWK',52.922778,293.135278,1.808,NULL,'WABUSH, NFLD',71825,NULL,'M13','/users/dor/afsy/pst/.ocm/writerAsciiBulletinFB/datafiles/constants/ffdstns_update_stations_20130410_for_SPOOKI'
'YKL',54.805278,293.194722,1.709,NULL,'SCHEFFERVILLE, QUEBEC',71828,NULL,'M13','/users/dor/afsy/pst/.ocm/writerAsciiBulletinFB/datafiles/constants/ffdstns_update_stations_20130410_for_SPOOKI'
'YVP',58.096111,291.573056,0.129,2,'KUUJJUAQ, QUEBEC',71906,NULL,'M15','/users/dor/afsy/pst/.ocm/writerAsciiBulletinFB/datafiles/constants/ffdstns_update_stations_20130410_for_SPOOKI'
'YYY',48.608889,291.7925,0.172,NULL,'MONT JOLI, QUEBEC',71718,NULL,'M 7','/users/dor/afsy/pst/.ocm/writerAsciiBulletinFB/datafiles/constants/ffdstns_update_stations_20130410_for_SPOOKI'
'YZG',62.179444,284.332778,0.743,NULL,'SALLUIT, QUEBEC',NULL,NULL,'M16','/users/dor/afsy/pst/.ocm/writerAsciiBulletinFB/datafiles/constants/ffdstns_update_stations_20130410_for_SPOOKI'
'YNC',53.010556,281.168889,0.066,NULL,'WEMENDJI, QUEBEC',NULL,NULL,'M11','/users/dor/afsy/pst/.ocm/writerAsciiBulletinFB/datafiles/constants/ffdstns_update_stations_20130410_for_SPOOKI'
'YTF',48.508611,288.358611,0.449,NULL,'ALMA, QUEBEC',NULL,NULL,'M5','/users/dor/afsy/pst/.ocm/writerAsciiBulletinFB/datafiles/constants/ffdstns_update_stations_20130410_for_SPOOKI'
'YMT',49.771944,285.471944,1.27,NULL,'CHIBOUGAMAU, QUEBEC',71822,NULL,'M9','/users/dor/afsy/pst/.ocm/writerAsciiBulletinFB/datafiles/constants/ffdstns_update_stations_20130410_for_SPOOKI'
'YGP',48.775278,295.520278,0.112,NULL,'GASPE, QUEBEC',71188,NULL,'H4','/users/dor/afsy/pst/.ocm/writerAsciiBulletinFB/datafiles/constants/ffdstns_update_stations_20130410_for_SPOOKI'
'YNM',49.761667,282.197222,0.918,NULL,'MATAGAMI, QUEBEC',71821,NULL,'M8','/users/dor/afsy/pst/.ocm/writerAsciiBulletinFB/datafiles/constants/ffdstns_update_stations_20130410_for_SPOOKI'
'YRI',47.764444,290.415556,0.426,NULL,'RIVIERE DU LOUP, QUEBEC',NULL,NULL,'M6','/users/dor/afsy/pst/.ocm/writerAsciiBulletinFB/datafiles/constants/ffdstns_update_stations_20130410_for_SPOOKI'
'YVO',48.053333,282.217222,1.107,NULL,'VAL D''OR, QUEBEC',71725,NULL,'M3','/users/dor/afsy/pst/.ocm/writerAsciiBulletinFB/datafiles/constants/ffdstns_update_stations_20130410_for_SPOOKI'
'YMW',46.272778,284.009444,0.658,2,'MANIWAKI, QUEBEC',71722,NULL,'M4','/users/dor/afsy/pst/.ocm/writerAsciiBulletinFB/datafiles/constants/ffdstns_update_stations_20130410_for_SPOOKI'
'YAH',53.754722,286.324722,1.005,2,'LA GRANDE IV, QUEBEC',71823,NULL,'M12','/users/dor/afsy/pst/.ocm/writerAsciiBulletinFB/datafiles/constants/ffdstns_update_stations_20130410_for_SPOOKI'
'YIF',51.209722,301.3425,0.019,NULL,'ST-AUGUSTIN, QUEBEC',NULL,NULL,'G5','/users/dor/afsy/pst/.ocm/writerAsciiBulletinFB/datafiles/constants/ffdstns_update_stations_20130410_for_SPOOKI'
'YQI',43.826944,293.911944,0.141,2,'YARMOUTH, NS',71603,NULL,'H 1','/users/dor/afsy/pst/.ocm/writerAsciiBulletinFB/datafiles/constants/ffdstns_update_stations_20130410_for_SPOOKI'
'YFC',45.868889,293.462778,0.067,NULL,'FREDERICTON, NB',71700,NULL,'H 2','/users/dor/afsy/pst/.ocm/writerAsciiBulletinFB/datafiles/constants/ffdstns_update_stations_20130410_for_SPOOKI'
'YQM',46.112222,295.321389,0.232,NULL,'MONCTON, NB',71705,NULL,'H 2','/users/dor/afsy/pst/.ocm/writerAsciiBulletinFB/datafiles/constants/ffdstns_update_stations_20130410_for_SPOOKI'
'YHZ',44.881111,296.491389,0.477,NULL,'HALIFAX, NS',71395,NULL,'H 1','/users/dor/afsy/pst/.ocm/writerAsciiBulletinFB/datafiles/constants/ffdstns_update_stations_20130410_for_SPOOKI'
'YSA',43.929444,300.040278,0.004,2,'SABLE ISLAND, NS',71600,NULL,'H 6','/users/dor/afsy/pst/.ocm/writerAsciiBulletinFB/datafiles/constants/ffdstns_update_stations_20130410_for_SPOOKI'
'YQY',46.161389,299.951944,0.203,NULL,'SYDNEY, NS',71707,NULL,'H 3','/users/dor/afsy/pst/.ocm/writerAsciiBulletinFB/datafiles/constants/ffdstns_update_stations_20130410_for_SPOOKI'
'FVP',46.763056,303.825833,0.028,NULL,'ST-PIERRE, FRANCE',71805,NULL,'G 1','/users/dor/afsy/pst/.ocm/writerAsciiBulletinFB/datafiles/constants/ffdstns_update_stations_20130410_for_SPOOKI'
'YYT',47.618611,307.2475,0.461,2,'ST. JOHN''S, NFLD',71801,NULL,'G 1','/users/dor/afsy/pst/.ocm/writerAsciiBulletinFB/datafiles/constants/ffdstns_update_stations_20130410_for_SPOOKI'
'YJT',48.541389,301.45,0.081,2,'STEPHENVILLE, NFLD',71815,NULL,'G 2','/users/dor/afsy/pst/.ocm/writerAsciiBulletinFB/datafiles/constants/ffdstns_update_stations_20130410_for_SPOOKI'
'YQX',48.936944,305.431944,0.496,NULL,'GANDER, NFLD',71803,NULL,'G 3','/users/dor/afsy/pst/.ocm/writerAsciiBulletinFB/datafiles/constants/ffdstns_update_stations_20130410_for_SPOOKI'
'YAY',51.391944,303.916944,0.108,NULL,'ST. ANTHONY, NFLD',71819,NULL,'G 3','/users/dor/afsy/pst/.ocm/writerAsciiBulletinFB/datafiles/constants/ffdstns_update_stations_20130410_for_SPOOKI'
'YGR',47.425,298.221944,0.035,NULL,'ILES DE LA MADELEINE, QUEBEC',71709,NULL,'H 5','/users/dor/afsy/pst/.ocm/writerAsciiBulletinFB/datafiles/constants/ffdstns_update_stations_20130410_for_SPOOKI'
'YNA',50.19,298.211111,0.039,NULL,'NATASHQUAN, QUEBEC',71813,NULL,'G 5','/users/dor/afsy/pst/.ocm/writerAsciiBulletinFB/datafiles/constants/ffdstns_update_stations_20130410_for_SPOOKI'
'YEO',51.866667,296.716667,1.932,NULL,'LAC EON, QUEBEC',71421,NULL,'G 5','/users/dor/afsy/pst/.ocm/writerAsciiBulletinFB/datafiles/constants/ffdstns_update_stations_20130410_for_SPOOKI'
'YYR',53.319167,299.574167,0.16,2,'GOOSE, NFLD',71816,NULL,'G 6','/users/dor/afsy/pst/.ocm/writerAsciiBulletinFB/datafiles/constants/ffdstns_update_stations_20130410_for_SPOOKI'
'YHO',55.448889,299.771944,0.046,NULL,'HOPEDALE, NFLD',71900,NULL,'G 6','/users/dor/afsy/pst/.ocm/writerAsciiBulletinFB/datafiles/constants/ffdstns_update_stations_20130410_for_SPOOKI'
'YSV',58.466667,297.35,1.693,NULL,'SAGLEK, NFLD',NULL,NULL,'G 7','/users/dor/afsy/pst/.ocm/writerAsciiBulletinFB/datafiles/constants/ffdstns_update_stations_20130410_for_SPOOKI'
'UHA',61.046389,290.382222,0.103,NULL,'QUAQTAQ, QUEBEC',71904,NULL,'M15','/users/dor/afsy/pst/.ocm/writerAsciiBulletinFB/datafiles/constants/ffdstns_update_stations_20130410_for_SPOOKI'
'YFB',63.756389,291.444167,0.11,2,'FROBISHER BAY, NWT',71909,NULL,'A34','/users/dor/afsy/pst/.ocm/writerAsciiBulletinFB/datafiles/constants/ffdstns_update_stations_20130410_for_SPOOKI'
'WFA',62.0,304.0,0.0,1,'62N       56W',NULL,NULL,'G12','/users/dor/afsy/pst/.ocm/writerAsciiBulletinFB/datafiles/constants/ffdstns_update_stations_20130410_for_SPOOKI'
'YCO',67.816667,244.856111,0.074,NULL,'COPPERMINE, NWT',71938,NULL,'A30','/users/dor/afsy/pst/.ocm/writerAsciiBulletinFB/datafiles/constants/ffdstns_update_stations_20130410_for_SPOOKI'
'YCB',69.108056,254.862778,0.102,2,'CAMBRIDGE BAY, NWT',71925,NULL,'A30','/users/dor/afsy/pst/.ocm/writerAsciiBulletinFB/datafiles/constants/ffdstns_update_stations_20130410_for_SPOOKI'
'YYH',69.546667,266.423056,0.09,NULL,'SPENCE BAY, NWT',NULL,NULL,'A31','/users/dor/afsy/pst/.ocm/writerAsciiBulletinFB/datafiles/constants/ffdstns_update_stations_20130410_for_SPOOKI'
'YUX',68.775833,278.7575,0.03,2,'HALL BEACH, NWT',71081,NULL,'A32','/users/dor/afsy/pst/.ocm/writerAsciiBulletinFB/datafiles/constants/ffdstns_update_stations_20130410_for_SPOOKI'
'YUW',68.65,288.833333,1.729,NULL,'DEWAR LAKES, NWT',71092,NULL,'A33','/users/dor/afsy/pst/.ocm/writerAsciiBulletinFB/datafiles/constants/ffdstns_update_stations_20130410_for_SPOOKI'
'YVN',66.6,298.433333,2.369,NULL,'CAPE DYER, NWT',71094,NULL,'A35','/users/dor/afsy/pst/.ocm/writerAsciiBulletinFB/datafiles/constants/ffdstns_update_stations_20130410_for_SPOOKI'
'YSY',71.993889,234.7575,0.282,2,'SACHS HARBOUR, NWT',71051,NULL,'A29','/users/dor/afsy/pst/.ocm/writerAsciiBulletinFB/datafiles/constants/ffdstns_update_stations_20130410_for_SPOOKI'
'WUA',73.0,250.0,0.0,1,'73N       110W',NULL,NULL,'A36','/users/dor/afsy/pst/.ocm/writerAsciiBulletinFB/datafiles/constants/ffdstns_update_stations_20130410_for_SPOOKI'
'YRB',74.716944,265.030556,0.222,2,'RESOLUTE, NWT',71924,NULL,'A37','/users/dor/afsy/pst/.ocm/writerAsciiBulletinFB/datafiles/constants/ffdstns_update_stations_20130410_for_SPOOKI'
'YAB',73.006389,274.952778,0.072,NULL,'ARCTIC BAY, NWT',NULL,NULL,'A38','/users/dor/afsy/pst/.ocm/writerAsciiBulletinFB/datafiles/constants/ffdstns_update_stations_20130410_for_SPOOKI'
