StationIntlId,StationAlphaId,CanRegCode,StationName,Latitude,Longitude,StationElevation,TerrainElevation,FictiveStationFlag,SpookiStationKey,ProductName
71917,CWEU,5,'EUREKA  NU',80.5733333333333,-86.4933333333333,,10,0,71917CWEU7959N8556W,[FB]
71922,CYVC,4,'LA RONGE A  SK',55.24,-105.426666666667,,379,0,71922CYVC5509N10516W,[FB]
71923,CWJC,4,'ENNADAI LAKE NU (AUT)',61.1866666666667,-101.413333333333,,353,0,71923CWJC6107N10053W,[FB]
71924,CYRB,5,'RESOLUTE CARS  NU',75.1466666666667,-95.5733333333333,68,67,0,71924CYRB7443N9459W,[FB]
71925,CYCB,5,'CAMBRIDGE BAY A  NU',69.16,-105.213333333333,31,27,0,71925CYCB6906N10508W,[FB]
71926,CYBK,4,'BAKER LAKE  A  NU',64.4533333333333,-96.1066666666667,,18,0,71926CYBK6417N9604W,[FB]
71932,CYMM,5,'FORT MCMURRAY AWOS A AB (AU5)',57.04,-111.346666666667,,369,0,71932CYMM5639N11113W,[FB]
71934,CYSM,5,'FORT SMITH A  NT',60.0266666666667,-112.52,,205,0,71934CYSM6001N11157W,[FB]
71936,CYZF,5,'YELLOWKNIFE A  NT',62.72,-114.693333333333,,206,0,71936CYZF6227N11426W,[FB]
71938,CYCO,5,'KUGLUKTUK A  NU',68.3066666666667,-115.213333333333,,23,0,71938CYCO6749N11508W,[FB]
71943,CYXJ,6,'FORT ST JOHN A  BC',56.3733333333333,-121.173333333333,715,695,0,71943CYXJ5614N12044W,[FB]
71945,CYYE,6,'FORT NELSON A  BC',59.3333333333333,-122.933333333333,,382,0,71945CYYE5850N12235W,[FB]
71946,CYFS,5,'FORT SIMPSON A  NT',62.2,-121.373333333333,170,169,0,71946CYFS6145N12114W,[FB]
71950,CYYD,6,'SMITHERS A  BC',55.3066666666667,-127.266666666667,529,522,0,71950CYYD5449N12710W,[FB]
71953,CYQH,6,'WATSON LAKE A  YT',60.1866666666667,-129.306666666667,,687,0,71953CYQH6007N12849W,[FB]
71957,CYEV,5,'INUVIK AWOS A  NT',68.48,-133.773333333333,,68,0,71957CYEV6818N13329W,[FB]
71964,CYXY,6,'WHITEHORSE A  YT',61.12,-135.106666666667,,706,0,71964CYXY6042N13504W,[FB]
71965,CYMA,6,'MAYO A  YT',63.9866666666667,-136.386666666667,,504,0,71965CYMA6337N13552W,[FB]
71989,CWAY,5,'MOULD BAY CS NT (AU8)',76.3733333333333,-119.533333333333,,2,0,71989CWAY7614N11920W,[FB]
-1,VBI,,'SIOUX NARROWS  ONT',49.48,-94.05,,411,0,-1VBI4948N26595E,[FB]
-2,YMV,,'MANICOUAGAN  QUEBEC',50.66,-68.83,,406,0,-2YMV5066N29117E,[FB]
-3,YNI,,'NITCHEQUON  QUEBEC',53.2,-70.9,,536,0,-3YNI5320N28910E,[FB]
-4,YTF,,'ALMA  QUEBEC',48.5,-71.36,,136,0,-4YTF4850N28864E,[FB]
-6,YIF,,'ST-AUGUSTIN QUEBEC',51.8,-58.35,,6,0,-6YIF5180N30165E,[FB]
-7,YEA,,'EMPRESS  ALBERTA',50.91,-110.1,,549,0,-7YEA5091N24990E,[FB]
-8,YIX,,'PORT RADIUM  NWT',66.1,-118.03,,191,0,-8YIX6610N24197E,[FB]
-9,YFN,,'CREE LAKE  SASK',57.35,-107.17,,499,0,-9YFN5735N25283E,[FB]
-27,WUI,,5200N 10100W,52,-101,,91,1,-27WUI5200N25900E,[FB]
-28,WUC,,5500N 09500W,55,-95,,183,1,-28WUC5500N26500E,[FB]
-29,WUD,,6000N 08500W,60,-85,,0,1,-29WUD6000N27500E,[FB]
-30,WUB,,6500N 10500W,65,-105,,302,1,-30WUB6500N25500E,[FB]
-31,WUE,,5500N 08500W,55,-85,,30,1,-31WUE5500N27500E,[FB]
-32,WKZ,,5700N 08900W,57,-89,,0,1,-32WKZ5700N27100E,[FB]
-33,WKJ,,6300N 10700W,63,-107,,381,1,-33WKJ6300N25300E,[FB]
-34,WLR,,6100N 08000W,61,-80,,0,1,-34WLR6100N28000E,[FB]
-35,XUH,,4800N 07500W,48,-75,,305,1,-35XUH4800N28500E,[FB]
-36,WUF,,5100N 07500W,51,-75,,366,1,-36WUF5100N28500E,[FB]
-37,WUG,,5700N 07300W,57,-73,,152,1,-37WUG5700N28700E,[FB]
-38,WFA,,6200N 05600W,62,-56,,0,1,-38WFA6200N30400E,[FB]
-39,WUA,,7300N 11000W,73,-110,,0,1,-39WUA7300N25000E,[FB]
-40,WFB,,7200N 06200W,72,-62,,0,1,-40WFB7200N29800E,[FB]
-41,WFC,,6600N 05400W,66,-54,,0,1,-41WFC6600N30600E,[FB]
-42,XCN,,7630N 06850W,76.5,-68.83,,161,1,-42XCN7650N29117E,[FB]
-43,WPM,,4700N 04900W,47,-49,,0,1,-43WPM4700N31100E,[FB]
-44,WJQ,,7600N 14000W,76,-140,,0,1,-44WJQ7600N22000E,[FB]
-45,WLL,,8200N 14000W,82,-140,,0,1,-45WLL8200N22000E,[FB]
-46,XBT,,8400N 10000W,84,-100,,0,1,-46XBT8400N26000E,[FB]
-47,XDJ,,8900N 14000W,89,-140,,0,1,-47XDJ8900N22000E,[FB]
-48,WKQ,,8500N 07000W,85,-70,,0,1,-48WKQ8500N29000E,[FB]
-49,WRS,,7800N 13000W,78,-130,,0,1,-49WRS7800N23000E,[FB]
-50,WDG,,8000N 11500W,80,-115,,0,1,-50WDG8000N24500E,[FB]
-51,WCM,,7000N 11500W,70,-115,,258,1,-51WCM7000N24500E,[FB]
